HEAD:
#r_Orbit is 1AU
nbeam 53
DATA:
  wavelength        flux
  3.0000e+00  1.1290e-13
  8.0000e+00  2.4935e-07
  1.3000e+01  4.7272e-05
  1.8000e+01  4.3049e-04
  2.3000e+01  5.5902e-03
  2.8000e+01  5.1329e-03
  3.3000e+01  1.1738e-02
  3.8000e+01  2.8730e-03
  4.3000e+01  3.2187e-02
  4.8000e+01  1.2804e-02
  5.3000e+01  1.7265e-02
  5.8000e+01  2.2905e-02
  6.3000e+01  5.4464e-02
  6.8000e+01  4.0462e-02
  7.3000e+01  5.0764e-02
  7.8000e+01  3.6778e-02
  8.3000e+01  5.2295e-02
  8.8000e+01  3.1994e-02
  9.3000e+01  1.9382e-02
  9.8000e+01  3.8878e-02
  1.1300e+02  1.0008e-01
  1.3800e+02  1.0472e-01
  1.6300e+02  1.0056e+00
  1.8800e+02  3.8468e-01
  2.1300e+02  1.1375e-01
  2.3800e+02  2.4834e-01
  2.6300e+02  7.0516e-02
  2.8800e+02  1.1062e-01
  3.1300e+02  2.7440e-01
  3.3800e+02  9.2165e-02
  3.6300e+02  2.0464e-01
  3.8800e+02  1.6933e-02
  4.1300e+02  2.5951e-02
  4.3800e+02  1.0769e-01
  4.6300e+02  7.8205e-02
  4.8800e+02  3.8135e-03
  5.1300e+02  2.6616e-03
  5.3800e+02  1.8930e-03
  5.6300e+02  1.4287e-02
  5.8800e+02  2.6664e-03
  6.1300e+02  1.8334e-02
  6.3800e+02  1.1240e-02
  6.6300e+02  1.3898e-03
  6.8800e+02  7.8755e-03
  7.1300e+02  8.4400e-03
  7.3800e+02  1.5292e-03
  7.6300e+02  7.5524e-02
  7.8800e+02  3.9524e-02
  8.1300e+02  1.1173e-03
  8.3800e+02  6.3485e-04
  8.6300e+02  2.2791e-03
  8.8800e+02  3.4133e-03
  9.1300e+02  1.0579e-03
