HEAD:
#r_Orbit is 1AU
nbeam 53
DATA:
  wavelength        flux
  3.0000e+00  3.9068e-13
  8.0000e+00  8.4035e-07
  1.3000e+01  1.4557e-04
  1.8000e+01  1.2249e-03
  2.3000e+01  1.5179e-02
  2.8000e+01  1.2847e-02
  3.3000e+01  2.9065e-02
  3.8000e+01  7.2280e-03
  4.3000e+01  6.4577e-02
  4.8000e+01  3.0762e-02
  5.3000e+01  3.9190e-02
  5.8000e+01  5.4682e-02
  6.3000e+01  1.1296e-01
  6.8000e+01  8.0434e-02
  7.3000e+01  9.2107e-02
  7.8000e+01  7.1865e-02
  8.3000e+01  8.8596e-02
  8.8000e+01  5.7037e-02
  9.3000e+01  3.6563e-02
  9.8000e+01  6.8493e-02
  1.1300e+02  1.7465e-01
  1.3800e+02  1.9535e-01
  1.6300e+02  1.8165e+00
  1.8800e+02  8.2587e-01
  2.1300e+02  2.2361e-01
  2.3800e+02  4.5330e-01
  2.6300e+02  1.5211e-01
  2.8800e+02  1.9011e-01
  3.1300e+02  4.7738e-01
  3.3800e+02  1.8984e-01
  3.6300e+02  4.1103e-01
  3.8800e+02  3.0450e-02
  4.1300e+02  3.5927e-02
  4.3800e+02  1.6314e-01
  4.6300e+02  1.0164e-01
  4.8800e+02  5.9629e-03
  5.1300e+02  4.5660e-03
  5.3800e+02  3.2970e-03
  5.6300e+02  2.3224e-02
  5.8800e+02  4.2088e-03
  6.1300e+02  5.0524e-02
  6.3800e+02  2.8181e-02
  6.6300e+02  2.6853e-03
  6.8800e+02  1.4305e-02
  7.1300e+02  1.5433e-02
  7.3800e+02  3.0187e-03
  7.6300e+02  1.1270e-01
  7.8800e+02  5.9322e-02
  8.1300e+02  1.9078e-03
  8.3800e+02  1.1643e-03
  8.6300e+02  3.6586e-03
  8.8800e+02  4.6460e-03
  9.1300e+02  1.8293e-03
