HEAD:
#r_Orbit is 1AU
nbeam 53
DATA:
  wavelength        flux
  3.0000e+00  1.1257e-10
  8.0000e+00  1.8812e-05
  1.3000e+01  1.3028e-03
  1.8000e+01  8.7573e-03
  2.3000e+01  9.1771e-02
  2.8000e+01  6.1783e-02
  3.3000e+01  1.3399e-01
  3.8000e+01  3.8656e-02
  4.3000e+01  2.2753e-01
  4.8000e+01  1.4077e-01
  5.3000e+01  1.7190e-01
  5.8000e+01  2.3941e-01
  6.3000e+01  3.9664e-01
  6.8000e+01  2.7014e-01
  7.3000e+01  2.5983e-01
  7.8000e+01  2.3108e-01
  8.3000e+01  2.3302e-01
  8.8000e+01  1.7257e-01
  9.3000e+01  1.1883e-01
  9.8000e+01  2.0131e-01
  1.1300e+02  4.8352e-01
  1.3800e+02  6.0602e-01
  1.6300e+02  5.1258e+00
  1.8800e+02  3.3496e+00
  2.1300e+02  8.1162e-01
  2.3800e+02  1.3373e+00
  2.6300e+02  6.3417e-01
  2.8800e+02  5.2211e-01
  3.1300e+02  1.2722e+00
  3.3800e+02  6.8886e-01
  3.6300e+02  1.3449e+00
  3.8800e+02  8.7393e-02
  4.1300e+02  5.6606e-02
  4.3800e+02  3.1011e-01
  4.6300e+02  1.1934e-01
  4.8800e+02  1.5678e-02
  5.1300e+02  1.3364e-02
  5.3800e+02  1.0863e-02
  5.6300e+02  5.6491e-02
  5.8800e+02  1.1204e-02
  6.1300e+02  2.3804e-01
  6.3800e+02  1.2391e-01
  6.6300e+02  8.9940e-03
  6.8800e+02  4.0460e-02
  7.1300e+02  4.3831e-02
  7.3800e+02  9.7403e-03
  7.6300e+02  2.1599e-01
  7.8800e+02  1.1555e-01
  8.1300e+02  5.0848e-03
  8.3800e+02  3.5003e-03
  8.6300e+02  8.5174e-03
  8.8800e+02  6.9031e-03
  9.1300e+02  4.9416e-03
