HEAD:
#r_Orbit is 1AU
nbeam 53
DATA:
  wavelength        flux
  3.0000e+00  1.0528e-09
  8.0000e+00  1.4881e-04
  1.3000e+01  7.4669e-03
  1.8000e+01  4.3734e-02
  2.3000e+01  3.9720e-01
  2.8000e+01  2.0765e-01
  3.3000e+01  4.2181e-01
  3.8000e+01  1.5292e-01
  4.3000e+01  6.0687e-01
  4.8000e+01  4.5731e-01
  5.3000e+01  5.6446e-01
  5.8000e+01  7.1846e-01
  6.3000e+01  9.4792e-01
  6.8000e+01  6.5063e-01
  7.3000e+01  5.1860e-01
  7.8000e+01  5.1820e-01
  8.3000e+01  5.2855e-01
  8.8000e+01  4.6231e-01
  9.3000e+01  3.1236e-01
  9.8000e+01  5.2422e-01
  1.1300e+02  1.1061e+00
  1.3800e+02  1.4592e+00
  1.6300e+02  1.0486e+01
  1.8800e+02  1.0451e+01
  2.1300e+02  2.4526e+00
  2.3800e+02  3.0252e+00
  2.6300e+02  2.0699e+00
  2.8800e+02  1.2559e+00
  3.1300e+02  2.6013e+00
  3.3800e+02  1.8390e+00
  3.6300e+02  2.8715e+00
  3.8800e+02  1.9383e-01
  4.1300e+02  1.1531e-01
  4.3800e+02  4.7021e-01
  4.6300e+02  2.0200e-01
  4.8800e+02  5.1632e-02
  5.1300e+02  3.8243e-02
  5.3800e+02  3.7523e-02
  5.6300e+02  1.2676e-01
  5.8800e+02  3.6356e-02
  6.1300e+02  6.6827e-01
  6.3800e+02  3.4430e-01
  6.6300e+02  2.3627e-02
  6.8800e+02  8.1107e-02
  7.1300e+02  8.6084e-02
  7.3800e+02  2.1227e-02
  7.6300e+02  4.0340e-01
  7.8800e+02  2.1742e-01
  8.1300e+02  1.1536e-02
  8.3800e+02  8.2268e-03
  8.6300e+02  1.7908e-02
  8.8800e+02  1.4105e-02
  9.1300e+02  1.0951e-02
