HEAD:
#r_Orbit is 1AU
nbeam 53
DATA:
  wavelength        flux
  3.0000e+00  7.9278e-17
  8.0000e+00  5.8166e-09
  1.3000e+01  4.5540e-06
  1.8000e+01  6.6951e-05
  2.3000e+01  1.0535e-03
  2.8000e+01  1.2450e-03
  3.3000e+01  2.9259e-03
  3.8000e+01  6.8927e-04
  4.3000e+01  1.1949e-02
  4.8000e+01  3.4370e-03
  5.3000e+01  5.2267e-03
  5.8000e+01  6.2456e-03
  6.3000e+01  1.9226e-02
  6.8000e+01  1.5243e-02
  7.3000e+01  2.1460e-02
  7.8000e+01  1.4178e-02
  8.3000e+01  2.3882e-02
  8.8000e+01  1.3876e-02
  9.3000e+01  7.8882e-03
  9.8000e+01  1.7385e-02
  1.1300e+02  4.5026e-02
  1.3800e+02  4.3553e-02
  1.6300e+02  4.2941e-01
  1.8800e+02  1.3048e-01
  2.1300e+02  4.4006e-02
  2.3800e+02  1.0509e-01
  2.6300e+02  2.3774e-02
  2.8800e+02  5.0390e-02
  3.1300e+02  1.2103e-01
  3.3800e+02  3.3097e-02
  3.6300e+02  7.6607e-02
  3.8800e+02  7.4247e-03
  4.1300e+02  1.5207e-02
  4.3800e+02  5.4692e-02
  4.6300e+02  4.8225e-02
  4.8800e+02  1.9635e-03
  5.1300e+02  1.2252e-03
  5.3800e+02  8.7889e-04
  5.6300e+02  7.2925e-03
  5.8800e+02  1.3802e-03
  6.1300e+02  3.2964e-03
  6.3800e+02  2.8680e-03
  6.6300e+02  5.5162e-04
  6.8800e+02  3.3307e-03
  7.1300e+02  3.5905e-03
  7.3800e+02  5.8611e-04
  7.6300e+02  3.9344e-02
  7.8800e+02  2.0475e-02
  8.1300e+02  5.1277e-04
  8.3800e+02  2.6775e-04
  8.6300e+02  1.1104e-03
  8.8800e+02  2.0681e-03
  9.1300e+02  4.7805e-04
