HEAD:
#r_Orbit is 1AU
nbeam 53
DATA:
  wavelength        flux
  3.0000e+00  2.8303e-13
  8.0000e+00  6.1182e-07
  1.3000e+01  1.0788e-04
  1.8000e+01  9.2285e-04
  2.3000e+01  1.1555e-02
  2.8000e+01  9.9657e-03
  3.3000e+01  2.2605e-02
  3.8000e+01  5.6000e-03
  4.3000e+01  5.3055e-02
  4.8000e+01  2.4101e-02
  5.3000e+01  3.1146e-02
  5.8000e+01  4.2909e-02
  6.3000e+01  9.1954e-02
  6.8000e+01  6.6255e-02
  7.3000e+01  7.7925e-02
  7.8000e+01  5.9488e-02
  8.3000e+01  7.6562e-02
  8.8000e+01  4.8514e-02
  9.3000e+01  3.0577e-02
  9.8000e+01  5.8470e-02
  1.1300e+02  1.4953e-01
  1.3800e+02  1.6390e-01
  1.6300e+02  1.5388e+00
  1.8800e+02  6.6602e-01
  2.1300e+02  1.8478e-01
  2.3800e+02  3.8281e-01
  2.6300e+02  1.2251e-01
  2.8800e+02  1.6354e-01
  3.1300e+02  4.0911e-01
  3.3800e+02  1.5483e-01
  3.6300e+02  3.3759e-01
  3.8800e+02  2.5831e-02
  4.1300e+02  3.3247e-02
  4.3800e+02  1.4627e-01
  4.6300e+02  9.6279e-02
  4.8800e+02  5.2892e-03
  5.1300e+02  3.9302e-03
  5.3800e+02  2.8245e-03
  5.6300e+02  2.0338e-02
  5.8800e+02  3.7216e-03
  6.1300e+02  3.8334e-02
  6.3800e+02  2.1851e-02
  6.6300e+02  2.2300e-03
  6.8800e+02  1.2098e-02
  7.1300e+02  1.3026e-02
  7.3800e+02  2.4915e-03
  7.6300e+02  1.0157e-01
  7.8800e+02  5.3355e-02
  8.1300e+02  1.6446e-03
  8.3800e+02  9.8185e-04
  8.6300e+02  3.2171e-03
  8.8800e+02  4.3260e-03
  9.1300e+02  1.5706e-03
