HEAD:
#r_Orbit is 1AU
nbeam 53
DATA:
  wavelength        flux
  3.0000e+00  7.5030e-14
  8.0000e+00  1.6837e-07
  1.3000e+01  3.3545e-05
  1.8000e+01  3.1741e-04
  2.3000e+01  4.2077e-03
  2.8000e+01  3.9925e-03
  3.3000e+01  9.1674e-03
  3.8000e+01  2.2303e-03
  4.3000e+01  2.6926e-02
  4.8000e+01  1.0111e-02
  5.3000e+01  1.3905e-02
  5.8000e+01  1.8129e-02
  6.3000e+01  4.5126e-02
  6.8000e+01  3.3937e-02
  7.3000e+01  4.3620e-02
  7.8000e+01  3.0994e-02
  8.3000e+01  4.5678e-02
  8.8000e+01  2.7611e-02
  9.3000e+01  1.6489e-02
  9.8000e+01  3.3648e-02
  1.1300e+02  8.6816e-02
  1.3800e+02  8.9346e-02
  1.6300e+02  8.6499e-01
  1.8800e+02  3.1541e-01
  2.1300e+02  9.5706e-02
  2.3800e+02  2.1307e-01
  2.6300e+02  5.7733e-02
  2.8800e+02  9.6300e-02
  3.1300e+02  2.3820e-01
  3.3800e+02  7.6519e-02
  3.6300e+02  1.7114e-01
  3.8800e+02  1.4582e-02
  4.1300e+02  2.3618e-02
  4.3800e+02  9.6350e-02
  4.6300e+02  7.1960e-02
  4.8800e+02  3.3899e-03
  5.1300e+02  2.3181e-03
  5.3800e+02  1.6429e-03
  5.6300e+02  1.2596e-02
  5.8800e+02  2.3655e-03
  6.1300e+02  1.3712e-02
  6.3800e+02  8.7366e-03
  6.6300e+02  1.1749e-03
  6.8800e+02  6.7653e-03
  7.1300e+02  7.2380e-03
  7.3800e+02  1.2851e-03
  7.6300e+02  6.7772e-02
  7.8800e+02  3.5426e-02
  8.1300e+02  9.7422e-04
  8.3800e+02  5.4403e-04
  8.6300e+02  2.0147e-03
  8.8800e+02  3.1159e-03
  9.1300e+02  9.1964e-04
