HEAD:
#r_Orbit is 1AU
nbeam 53
DATA:
  wavelength        flux
  3.0000e+00  2.7933e-09
  8.0000e+00  3.8632e-04
  1.3000e+01  1.8335e-02
  1.8000e+01  1.0409e-01
  2.3000e+01  9.0957e-01
  2.8000e+01  4.3511e-01
  3.3000e+01  8.5903e-01
  3.8000e+01  3.4045e-01
  4.3000e+01  1.1342e+00
  4.8000e+01  9.4450e-01
  5.3000e+01  1.1712e+00
  5.8000e+01  1.4304e+00
  6.3000e+01  1.6510e+00
  6.8000e+01  1.1393e+00
  7.3000e+01  7.7792e-01
  7.8000e+01  8.6086e-01
  8.3000e+01  8.8588e-01
  8.8000e+01  8.6630e-01
  9.3000e+01  5.7876e-01
  9.8000e+01  9.6581e-01
  1.1300e+02  1.8659e+00
  1.3800e+02  2.5548e+00
  1.6300e+02  1.6104e+01
  1.8800e+02  2.1197e+01
  2.1300e+02  4.8997e+00
  2.3800e+02  5.0600e+00
  2.6300e+02  4.2838e+00
  2.8800e+02  2.1974e+00
  3.1300e+02  3.9931e+00
  3.3800e+02  3.4389e+00
  3.6300e+02  4.5818e+00
  3.8800e+02  3.1921e-01
  4.1300e+02  1.7639e-01
  4.3800e+02  4.8728e-01
  4.6300e+02  2.4995e-01
  4.8800e+02  1.0727e-01
  5.1300e+02  7.4324e-02
  5.3800e+02  7.9510e-02
  5.6300e+02  2.1068e-01
  5.8800e+02  7.5050e-02
  6.1300e+02  1.2856e+00
  6.3800e+02  6.5865e-01
  6.6300e+02  4.3762e-02
  6.8800e+02  1.2218e-01
  7.1300e+02  1.2708e-01
  7.3800e+02  3.4461e-02
  7.6300e+02  5.6451e-01
  7.8800e+02  3.0676e-01
  8.1300e+02  1.9338e-02
  8.3800e+02  1.4159e-02
  8.6300e+02  2.8195e-02
  8.8800e+02  2.1636e-02
  9.1300e+02  1.8022e-02
