HEAD:
#r_Orbit is 1AU
nbeam 53
DATA:
  wavelength        flux
  3.0000e+00  7.2927e-15
  8.0000e+00  2.2384e-08
  1.3000e+01  8.0782e-06
  1.8000e+01  1.0170e-04
  2.3000e+01  1.5233e-03
  2.8000e+01  1.7031e-03
  3.3000e+01  3.9823e-03
  3.8000e+01  9.4282e-04
  4.3000e+01  1.5139e-02
  4.8000e+01  4.6062e-03
  5.3000e+01  6.8508e-03
  5.8000e+01  8.3379e-03
  6.3000e+01  2.4588e-02
  6.8000e+01  1.9239e-02
  7.3000e+01  2.6596e-02
  7.8000e+01  1.7835e-02
  8.3000e+01  2.9152e-02
  8.8000e+01  1.7045e-02
  9.3000e+01  9.7649e-03
  9.8000e+01  2.0939e-02
  1.1300e+02  5.4369e-02
  1.3800e+02  5.3370e-02
  1.6300e+02  5.2906e-01
  1.8800e+02  1.6585e-01
  2.1300e+02  5.4791e-02
  2.3800e+02  1.2935e-01
  2.6300e+02  3.0200e-02
  2.8800e+02  6.0908e-02
  3.1300e+02  1.4948e-01
  3.3800e+02  4.1976e-02
  3.6300e+02  9.6126e-02
  3.8800e+02  8.9470e-03
  4.1300e+02  1.6709e-02
  4.3800e+02  6.5420e-02
  4.6300e+02  5.2206e-02
  4.8800e+02  2.2648e-03
  5.1300e+02  1.4678e-03
  5.3800e+02  1.0302e-03
  5.6300e+02  8.2382e-03
  5.8800e+02  1.5725e-03
  6.1300e+02  4.7887e-03
  6.3800e+02  3.7154e-03
  6.6300e+02  6.8251e-04
  6.8800e+02  4.1218e-03
  7.1300e+02  4.3884e-03
  7.3800e+02  7.3301e-04
  7.6300e+02  4.6356e-02
  7.8800e+02  2.4164e-02
  8.1300e+02  6.1873e-04
  8.3800e+02  3.2913e-04
  8.6300e+02  1.3271e-03
  8.8800e+02  2.2199e-03
  9.1300e+02  5.7938e-04
