HEAD:
#r_Orbit is 1AU
nbeam 53
DATA:
  wavelength        flux
  3.0000e+00  2.2317e-13
  8.0000e+00  4.8446e-07
  1.3000e+01  8.6703e-05
  1.8000e+01  7.5185e-04
  2.3000e+01  9.4915e-03
  2.8000e+01  8.3069e-03
  3.3000e+01  1.8879e-02
  3.8000e+01  4.6635e-03
  4.3000e+01  4.6110e-02
  4.8000e+01  2.0241e-02
  5.3000e+01  2.6436e-02
  5.8000e+01  3.6079e-02
  6.3000e+01  7.9404e-02
  6.8000e+01  5.7686e-02
  7.3000e+01  6.9078e-02
  7.8000e+01  5.1967e-02
  8.3000e+01  6.8808e-02
  8.8000e+01  4.3157e-02
  9.3000e+01  2.6897e-02
  9.8000e+01  5.2137e-02
  1.1300e+02  1.3359e-01
  1.3800e+02  1.4450e-01
  1.6300e+02  1.3653e+00
  1.8800e+02  5.7132e-01
  2.1300e+02  1.6123e-01
  2.3800e+02  3.3895e-01
  2.6300e+02  1.0500e-01
  2.8800e+02  1.4656e-01
  3.1300e+02  3.6572e-01
  3.3800e+02  1.3388e-01
  3.6300e+02  2.9333e-01
  3.8800e+02  2.2939e-02
  4.1300e+02  3.1137e-02
  4.3800e+02  1.3447e-01
  4.6300e+02  9.1356e-02
  4.8800e+02  4.8314e-03
  5.1300e+02  3.5233e-03
  5.3800e+02  2.5244e-03
  5.6300e+02  1.8432e-02
  5.8800e+02  3.3929e-03
  6.1300e+02  3.1406e-02
  6.3800e+02  1.8208e-02
  6.6300e+02  1.9524e-03
  6.8800e+02  1.0722e-02
  7.1300e+02  1.1530e-02
  7.3800e+02  2.1722e-03
  7.6300e+02  9.3667e-02
  7.8800e+02  4.9146e-02
  8.1300e+02  1.4757e-03
  8.3800e+02  8.6852e-04
  8.6300e+02  2.9230e-03
  8.8800e+02  4.0658e-03
  9.1300e+02  1.4058e-03
