HEAD:
#r_Orbit is 1AU
nbeam 53
DATA:
  wavelength        flux
  3.0000e+00  6.0432e-14
  8.0000e+00  1.3699e-07
  1.3000e+01  2.8123e-05
  1.8000e+01  2.7190e-04
  2.3000e+01  3.6446e-03
  2.8000e+01  3.5173e-03
  3.3000e+01  8.0926e-03
  3.8000e+01  1.9628e-03
  4.3000e+01  2.4559e-02
  4.8000e+01  8.9744e-03
  5.3000e+01  1.2461e-02
  5.8000e+01  1.6110e-02
  6.3000e+01  4.0978e-02
  6.8000e+01  3.0989e-02
  7.3000e+01  4.0259e-02
  7.8000e+01  2.8363e-02
  8.3000e+01  4.2458e-02
  8.8000e+01  2.5532e-02
  9.3000e+01  1.5153e-02
  9.8000e+01  3.1153e-02
  1.1300e+02  8.0457e-02
  1.3800e+02  8.2209e-02
  1.6300e+02  7.9873e-01
  1.8800e+02  2.8504e-01
  2.1300e+02  8.7516e-02
  2.3800e+02  1.9653e-01
  2.6300e+02  5.2138e-02
  2.8800e+02  8.9384e-02
  3.1300e+02  2.2083e-01
  3.3800e+02  6.9551e-02
  3.6300e+02  1.5607e-01
  3.8800e+02  1.3471e-02
  4.1300e+02  2.2328e-02
  4.3800e+02  9.0457e-02
  4.6300e+02  6.8326e-02
  4.8800e+02  3.1741e-03
  5.1300e+02  2.1520e-03
  5.3800e+02  1.5228e-03
  5.6300e+02  1.1753e-02
  5.8800e+02  2.2131e-03
  6.1300e+02  1.1836e-02
  6.3800e+02  7.6940e-03
  6.6300e+02  1.0766e-03
  6.8800e+02  6.2433e-03
  7.1300e+02  6.6747e-03
  7.3800e+02  1.1745e-03
  7.6300e+02  6.3705e-02
  7.8800e+02  3.3285e-02
  8.1300e+02  9.0484e-04
  8.3800e+02  5.0153e-04
  8.6300e+02  1.8821e-03
  8.8800e+02  2.9492e-03
  9.1300e+02  8.5307e-04
