HEAD:
#r_Orbit is 1AU
nbeam 53
DATA:
  wavelength        flux
  3.0000e+00  1.1059e-12
  8.0000e+00  2.3746e-06
  1.3000e+01  4.0873e-04
  1.8000e+01  3.4182e-03
  2.3000e+01  4.2198e-02
  2.8000e+01  3.5457e-02
  3.3000e+01  8.0138e-02
  3.8000e+01  1.9958e-02
  4.3000e+01  1.7415e-01
  4.8000e+01  8.4575e-02
  5.3000e+01  1.0713e-01
  5.8000e+01  1.5024e-01
  6.3000e+01  3.0580e-01
  6.8000e+01  2.1667e-01
  7.3000e+01  2.4529e-01
  7.8000e+01  1.9319e-01
  8.3000e+01  2.3372e-01
  8.8000e+01  1.5154e-01
  9.3000e+01  9.7862e-02
  9.8000e+01  1.8168e-01
  1.1300e+02  4.6266e-01
  1.3800e+02  5.2210e-01
  1.6300e+02  4.8345e+00
  1.8800e+02  2.2444e+00
  2.1300e+02  6.0155e-01
  2.3800e+02  1.2081e+00
  2.6300e+02  4.1359e-01
  2.8800e+02  5.0254e-01
  3.1300e+02  1.2641e+00
  3.3800e+02  5.1351e-01
  3.6300e+02  1.1086e+00
  3.8800e+02  8.0995e-02
  4.1300e+02  9.1745e-02
  4.3800e+02  4.2310e-01
  4.6300e+02  2.5650e-01
  4.8800e+02  1.5543e-02
  5.1300e+02  1.2067e-02
  5.3800e+02  8.7316e-03
  5.6300e+02  6.0897e-02
  5.8800e+02  1.0987e-02
  6.1300e+02  1.4063e-01
  6.3800e+02  7.7790e-02
  6.6300e+02  7.2086e-03
  6.8800e+02  3.8099e-02
  7.1300e+02  4.1141e-02
  7.3800e+02  8.1251e-03
  7.6300e+02  2.9157e-01
  7.8800e+02  1.5362e-01
  8.1300e+02  5.0386e-03
  8.3800e+02  3.1050e-03
  8.6300e+02  9.5752e-03
  8.8800e+02  1.1828e-02
  9.1300e+02  4.8397e-03
