HEAD:
#r_Orbit is 1AU
nbeam 53
DATA:
  wavelength        flux
  3.0000e+00  6.7505e-17
  8.0000e+00  4.9545e-09
  1.3000e+01  3.8840e-06
  1.8000e+01  5.7264e-05
  2.3000e+01  9.0236e-04
  2.8000e+01  1.0692e-03
  3.3000e+01  2.5123e-03
  3.8000e+01  5.9376e-04
  4.3000e+01  1.0366e-02
  4.8000e+01  2.9590e-03
  5.3000e+01  4.5114e-03
  5.8000e+01  5.3852e-03
  6.3000e+01  1.6627e-02
  6.8000e+01  1.3255e-02
  7.3000e+01  1.8746e-02
  7.8000e+01  1.2332e-02
  8.3000e+01  2.1019e-02
  8.8000e+01  1.2208e-02
  9.3000e+01  6.9411e-03
  9.8000e+01  1.5598e-02
  1.1300e+02  4.0240e-02
  1.3800e+02  3.8679e-02
  1.6300e+02  3.7727e-01
  1.8800e+02  1.1461e-01
  2.1300e+02  3.8761e-02
  2.3800e+02  9.2573e-02
  2.6300e+02  2.0921e-02
  2.8800e+02  4.4902e-02
  3.1300e+02  1.0550e-01
  3.3800e+02  2.8845e-02
  3.6300e+02  6.7190e-02
  3.8800e+02  6.6764e-03
  4.1300e+02  1.4619e-02
  4.3800e+02  4.8644e-02
  4.6300e+02  4.6825e-02
  4.8800e+02  1.8181e-03
  5.1300e+02  1.1018e-03
  5.3800e+02  8.0975e-04
  5.6300e+02  6.9143e-03
  5.8800e+02  1.2946e-03
  6.1300e+02  2.8515e-03
  6.3800e+02  2.6151e-03
  6.6300e+02  4.8767e-04
  6.8800e+02  2.9144e-03
  7.1300e+02  3.1878e-03
  7.3800e+02  5.1416e-04
  7.6300e+02  3.5511e-02
  7.8800e+02  1.8457e-02
  8.1300e+02  4.5740e-04
  8.3800e+02  2.3637e-04
  8.6300e+02  9.9384e-04
  8.8800e+02  2.0284e-03
  9.1300e+02  4.2507e-04
