HEAD:
#r_Orbit is 1AU
nbeam 53
DATA:
  wavelength        flux
  3.0000e+00  6.8234e-13
  8.0000e+00  1.4585e-06
  1.3000e+01  2.4690e-04
  1.8000e+01  2.0312e-03
  2.3000e+01  2.4812e-02
  2.8000e+01  2.0432e-02
  3.3000e+01  4.6050e-02
  3.8000e+01  1.1517e-02
  4.3000e+01  9.3692e-02
  4.8000e+01  4.8202e-02
  5.3000e+01  6.0061e-02
  5.8000e+01  8.5477e-02
  6.3000e+01  1.6649e-01
  6.8000e+01  1.1617e-01
  7.3000e+01  1.2678e-01
  7.8000e+01  1.0291e-01
  8.3000e+01  1.1705e-01
  8.8000e+01  7.7718e-02
  9.3000e+01  5.1413e-02
  9.8000e+01  9.2681e-02
  1.1300e+02  2.3500e-01
  1.3800e+02  2.7304e-01
  1.6300e+02  2.4940e+00
  1.8800e+02  1.2363e+00
  2.1300e+02  3.2118e-01
  2.3800e+02  6.2604e-01
  2.6300e+02  2.2817e-01
  2.8800e+02  2.5343e-01
  3.1300e+02  6.4112e-01
  3.3800e+02  2.7889e-01
  3.6300e+02  5.9666e-01
  3.8800e+02  4.1701e-02
  4.1300e+02  4.0768e-02
  4.3800e+02  1.9946e-01
  4.6300e+02  1.0858e-01
  4.8800e+02  7.4632e-03
  5.1300e+02  6.0799e-03
  5.3800e+02  4.4309e-03
  5.6300e+02  2.9867e-02
  5.8800e+02  5.3036e-03
  6.1300e+02  8.2972e-02
  6.3800e+02  4.4848e-02
  6.6300e+02  3.8233e-03
  6.8800e+02  1.9701e-02
  7.1300e+02  2.1335e-02
  7.3800e+02  4.3450e-03
  7.6300e+02  1.3620e-01
  7.8800e+02  7.2012e-02
  8.1300e+02  2.5330e-03
  8.3800e+02  1.6122e-03
  8.6300e+02  4.6648e-03
  8.8800e+02  5.1910e-03
  9.1300e+02  2.4477e-03
