HEAD:
#r_Orbit is 1AU
nbeam 53
DATA:
  wavelength        flux
  3.0000e+00  1.6903e-14
  8.0000e+00  4.3229e-08
  1.3000e+01  1.1799e-05
  1.8000e+01  1.3388e-04
  2.3000e+01  1.9290e-03
  2.8000e+01  2.0572e-03
  3.3000e+01  4.7868e-03
  3.8000e+01  1.1417e-03
  4.3000e+01  1.7090e-02
  4.8000e+01  5.4679e-03
  5.3000e+01  7.9742e-03
  5.8000e+01  9.8735e-03
  6.3000e+01  2.7952e-02
  6.8000e+01  2.1680e-02
  7.3000e+01  2.9509e-02
  7.8000e+01  2.0033e-02
  8.3000e+01  3.2048e-02
  8.8000e+01  1.8864e-02
  9.3000e+01  1.0901e-02
  9.8000e+01  2.3136e-02
  1.1300e+02  5.9996e-02
  1.3800e+02  5.9470e-02
  1.6300e+02  5.8664e-01
  1.8800e+02  1.9008e-01
  2.1300e+02  6.1610e-02
  2.3800e+02  1.4365e-01
  2.6300e+02  3.4654e-02
  2.8800e+02  6.7078e-02
  3.1300e+02  1.6488e-01
  3.3800e+02  4.7646e-02
  3.6300e+02  1.0854e-01
  3.8800e+02  9.9143e-03
  4.1300e+02  1.8011e-02
  4.3800e+02  7.1058e-02
  4.6300e+02  5.6016e-02
  4.8800e+02  2.4676e-03
  5.1300e+02  1.6162e-03
  5.3800e+02  1.1365e-03
  5.6300e+02  9.0127e-03
  5.8800e+02  1.7149e-03
  6.1300e+02  6.1317e-03
  6.3800e+02  4.4917e-03
  6.6300e+02  7.6503e-04
  6.8800e+02  4.5740e-03
  7.1300e+02  4.8749e-03
  7.3800e+02  8.2489e-04
  7.6300e+02  5.0281e-02
  7.8800e+02  2.6224e-02
  8.1300e+02  6.8084e-04
  8.3800e+02  3.6578e-04
  8.6300e+02  1.4499e-03
  8.8800e+02  2.3898e-03
  9.1300e+02  6.3858e-04
