HEAD:
#r_Orbit is 1AU
nbeam 53
DATA:
  wavelength        flux
  3.0000e+00  5.0918e-13
  8.0000e+00  1.0917e-06
  1.3000e+01  1.8693e-04
  1.8000e+01  1.5552e-03
  2.3000e+01  1.9136e-02
  2.8000e+01  1.5979e-02
  3.3000e+01  3.6085e-02
  3.8000e+01  8.9983e-03
  4.3000e+01  7.6888e-02
  4.8000e+01  3.7987e-02
  5.3000e+01  4.7881e-02
  5.8000e+01  6.7446e-02
  6.3000e+01  1.3548e-01
  6.8000e+01  9.5568e-02
  7.3000e+01  1.0705e-01
  7.8000e+01  8.5049e-02
  8.3000e+01  1.0111e-01
  8.8000e+01  6.5992e-02
  9.3000e+01  4.2910e-02
  9.8000e+01  7.9000e-02
  1.1300e+02  2.0094e-01
  1.3800e+02  2.2863e-01
  1.6300e+02  2.1088e+00
  1.8800e+02  9.9780e-01
  2.1300e+02  2.6500e-01
  2.3800e+02  5.2766e-01
  2.6300e+02  1.8396e-01
  2.8800e+02  2.1782e-01
  3.1300e+02  5.4877e-01
  3.3800e+02  2.2735e-01
  3.6300e+02  4.8950e-01
  3.8800e+02  3.5311e-02
  4.1300e+02  3.8449e-02
  4.3800e+02  1.8006e-01
  4.6300e+02  1.0620e-01
  4.8800e+02  6.6469e-03
  5.1300e+02  5.2289e-03
  5.3800e+02  3.7912e-03
  5.6300e+02  2.6193e-02
  5.8800e+02  4.7053e-03
  6.1300e+02  6.3840e-02
  6.3800e+02  3.5063e-02
  6.6300e+02  3.1695e-03
  6.8800e+02  1.6630e-02
  7.1300e+02  1.7973e-02
  7.3800e+02  3.5810e-03
  7.6300e+02  1.2378e-01
  7.8800e+02  6.5275e-02
  8.1300e+02  2.1820e-03
  8.3800e+02  1.3569e-03
  8.6300e+02  4.1109e-03
  8.8800e+02  4.9412e-03
  9.1300e+02  2.0994e-03
