HEAD:
#r_Orbit is 1AU
nbeam 53
DATA:
  wavelength        flux
  3.0000e+00  1.5819e-13
  8.0000e+00  3.4602e-07
  1.3000e+01  6.3555e-05
  1.8000e+01  5.6378e-04
  2.3000e+01  7.2132e-03
  2.8000e+01  6.4609e-03
  3.3000e+01  1.4729e-02
  3.8000e+01  3.6218e-03
  4.3000e+01  3.8138e-02
  4.8000e+01  1.5925e-02
  5.3000e+01  2.1134e-02
  5.8000e+01  2.8438e-02
  6.3000e+01  6.5083e-02
  6.8000e+01  4.7832e-02
  7.3000e+01  5.8702e-02
  7.8000e+01  4.3292e-02
  8.3000e+01  5.9537e-02
  8.8000e+01  3.6846e-02
  9.3000e+01  2.2621e-02
  9.8000e+01  4.4652e-02
  1.1300e+02  1.1470e-01
  1.3800e+02  1.2189e-01
  1.6300e+02  1.1616e+00
  1.8800e+02  4.6385e-01
  2.1300e+02  1.3410e-01
  2.3800e+02  2.8758e-01
  2.6300e+02  8.5135e-02
  2.8800e+02  1.2634e-01
  3.1300e+02  3.1426e-01
  3.3800e+02  1.0994e-01
  3.6300e+02  2.4254e-01
  3.8800e+02  1.9540e-02
  4.1300e+02  2.8349e-02
  4.3800e+02  1.1974e-01
  4.6300e+02  8.4449e-02
  4.8800e+02  4.2676e-03
  5.1300e+02  3.0386e-03
  5.3800e+02  2.1685e-03
  5.6300e+02  1.6120e-02
  5.8800e+02  2.9898e-03
  6.1300e+02  2.3766e-02
  6.3800e+02  1.4155e-02
  6.6300e+02  1.6315e-03
  6.8800e+02  9.1092e-03
  7.1300e+02  9.7775e-03
  7.3800e+02  1.8046e-03
  7.6300e+02  8.3716e-02
  7.8800e+02  4.3862e-02
  8.1300e+02  1.2743e-03
  8.3800e+02  7.3596e-04
  8.6300e+02  2.5646e-03
  8.8800e+02  3.7170e-03
  9.1300e+02  1.2099e-03
