HEAD:
#r_Orbit is 1AU
nbeam 53
DATA:
  wavelength        flux
  3.0000e+00  2.0565e-10
  8.0000e+00  3.1874e-05
  1.3000e+01  1.9466e-03
  1.8000e+01  1.2492e-02
  2.3000e+01  1.2529e-01
  2.8000e+01  7.8860e-02
  3.3000e+01  1.6841e-01
  3.8000e+01  5.1453e-02
  4.3000e+01  2.7592e-01
  4.8000e+01  1.7822e-01
  5.3000e+01  2.1819e-01
  5.8000e+01  2.9767e-01
  6.3000e+01  4.7089e-01
  6.8000e+01  3.2118e-01
  7.3000e+01  2.9906e-01
  7.8000e+01  2.7121e-01
  8.3000e+01  2.7404e-01
  8.8000e+01  2.0946e-01
  9.3000e+01  1.4368e-01
  9.8000e+01  2.4296e-01
  1.1300e+02  5.6950e-01
  1.3800e+02  7.2047e-01
  1.6300e+02  5.9233e+00
  1.8800e+02  4.2013e+00
  2.1300e+02  1.0107e+00
  2.3800e+02  1.5719e+00
  2.6300e+02  8.0381e-01
  2.8800e+02  6.2059e-01
  3.1300e+02  1.4700e+00
  3.3800e+02  8.3552e-01
  3.6300e+02  1.5652e+00
  3.8800e+02  1.0237e-01
  4.1300e+02  6.5369e-02
  4.3800e+02  3.4327e-01
  4.6300e+02  1.3404e-01
  4.8800e+02  1.9915e-02
  5.1300e+02  1.6445e-02
  5.3800e+02  1.3958e-02
  5.6300e+02  6.6309e-02
  5.8800e+02  1.4181e-02
  6.1300e+02  2.9173e-01
  6.3800e+02  1.5153e-01
  6.6300e+02  1.0874e-02
  6.8800e+02  4.6602e-02
  7.1300e+02  5.0321e-02
  7.3800e+02  1.1375e-02
  7.6300e+02  2.4607e-01
  7.8800e+02  1.3179e-01
  8.1300e+02  5.9801e-03
  8.3800e+02  4.1429e-03
  8.6300e+02  9.8870e-03
  8.8800e+02  7.9756e-03
  9.1300e+02  5.7878e-03
