HEAD:
#r_Orbit is 1AU
nbeam 53
DATA:
  wavelength        flux
  3.0000e+00  5.3590e-15
  8.0000e+00  1.8146e-08
  1.3000e+01  7.2948e-06
  1.8000e+01  9.4714e-05
  2.3000e+01  1.4337e-03
  2.8000e+01  1.6224e-03
  3.3000e+01  3.7981e-03
  3.8000e+01  8.9757e-04
  4.3000e+01  1.4656e-02
  4.8000e+01  4.4066e-03
  5.3000e+01  6.5851e-03
  5.8000e+01  7.9814e-03
  6.3000e+01  2.3765e-02
  6.8000e+01  1.8633e-02
  7.3000e+01  2.5848e-02
  7.8000e+01  1.7286e-02
  8.3000e+01  2.8391e-02
  8.8000e+01  1.6575e-02
  9.3000e+01  9.4774e-03
  9.8000e+01  2.0370e-02
  1.1300e+02  5.2905e-02
  1.3800e+02  5.1820e-02
  1.6300e+02  5.1427e-01
  1.8800e+02  1.6000e-01
  2.1300e+02  5.3091e-02
  2.3800e+02  1.2569e-01
  2.6300e+02  2.9127e-02
  2.8800e+02  5.9294e-02
  3.1300e+02  1.4547e-01
  3.3800e+02  4.0586e-02
  3.6300e+02  9.3054e-02
  3.8800e+02  8.6981e-03
  4.1300e+02  1.6343e-02
  4.3800e+02  6.3881e-02
  4.6300e+02  5.1113e-02
  4.8800e+02  2.2100e-03
  5.1300e+02  1.4290e-03
  5.3800e+02  1.0025e-03
  5.6300e+02  8.0317e-03
  5.8800e+02  1.5341e-03
  6.1300e+02  4.4936e-03
  6.3800e+02  3.5385e-03
  6.6300e+02  6.6180e-04
  6.8800e+02  4.0058e-03
  7.1300e+02  4.2640e-03
  7.3800e+02  7.1014e-04
  7.6300e+02  4.5280e-02
  7.8800e+02  2.3600e-02
  8.1300e+02  6.0245e-04
  8.3800e+02  3.1977e-04
  8.6300e+02  1.2942e-03
  8.8800e+02  2.1719e-03
  9.1300e+02  5.6393e-04
