HEAD:
#r_Orbit is 1AU
nbeam 53
DATA:
  wavelength        flux
  3.0000e+00  3.9204e-14
  8.0000e+00  9.1362e-08
  1.3000e+01  2.0239e-05
  1.8000e+01  2.0573e-04
  2.3000e+01  2.8258e-03
  2.8000e+01  2.8263e-03
  3.3000e+01  6.5300e-03
  3.8000e+01  1.5740e-03
  4.3000e+01  2.1117e-02
  4.8000e+01  7.3224e-03
  5.3000e+01  1.0361e-02
  5.8000e+01  1.3174e-02
  6.3000e+01  3.4949e-02
  6.8000e+01  2.6704e-02
  7.3000e+01  3.5375e-02
  7.8000e+01  2.4538e-02
  8.3000e+01  3.7777e-02
  8.8000e+01  2.2510e-02
  9.3000e+01  1.3210e-02
  9.8000e+01  2.7526e-02
  1.1300e+02  7.1214e-02
  1.3800e+02  7.1836e-02
  1.6300e+02  7.0243e-01
  1.8800e+02  2.4090e-01
  2.1300e+02  7.5611e-02
  2.3800e+02  1.7248e-01
  2.6300e+02  4.4006e-02
  2.8800e+02  7.9331e-02
  3.1300e+02  1.9557e-01
  3.3800e+02  5.9422e-02
  3.6300e+02  1.3416e-01
  3.8800e+02  1.1857e-02
  4.1300e+02  2.0453e-02
  4.3800e+02  8.1894e-02
  4.6300e+02  6.3047e-02
  4.8800e+02  2.8606e-03
  5.1300e+02  1.9106e-03
  5.3800e+02  1.3484e-03
  5.6300e+02  1.0529e-02
  5.8800e+02  1.9917e-03
  6.1300e+02  9.1097e-03
  6.3800e+02  6.1782e-03
  6.6300e+02  9.3377e-04
  6.8800e+02  5.4847e-03
  7.1300e+02  5.8560e-03
  7.3800e+02  1.0137e-03
  7.6300e+02  5.7796e-02
  7.8800e+02  3.0173e-02
  8.1300e+02  8.0399e-04
  8.3800e+02  4.3975e-04
  8.6300e+02  1.6894e-03
  8.8800e+02  2.7071e-03
  9.1300e+02  7.5632e-04
