HEAD:
#r_Orbit is 1AU
nbeam 53
DATA:
  wavelength        flux
  3.0000e+00  4.3361e-09
  8.0000e+00  5.7241e-04
  1.3000e+01  2.6689e-02
  1.8000e+01  1.5012e-01
  2.3000e+01  1.2954e+00
  2.8000e+01  6.0147e-01
  3.3000e+01  1.1754e+00
  3.8000e+01  4.8053e-01
  4.3000e+01  1.5012e+00
  4.8000e+01  1.2990e+00
  5.3000e+01  1.6134e+00
  5.8000e+01  1.9405e+00
  6.3000e+01  2.1190e+00
  6.8000e+01  1.4659e+00
  7.3000e+01  9.2538e-01
  7.8000e+01  1.0807e+00
  8.3000e+01  1.1171e+00
  8.8000e+01  1.1477e+00
  9.3000e+01  7.6313e-01
  9.8000e+01  1.2704e+00
  1.1300e+02  2.3595e+00
  1.3800e+02  3.2867e+00
  1.6300e+02  1.9405e+01
  1.8800e+02  2.8957e+01
  2.1300e+02  6.6590e+00
  2.3800e+02  6.3724e+00
  2.6300e+02  5.8960e+00
  2.8800e+02  2.8267e+00
  3.1300e+02  4.8123e+00
  3.3800e+02  4.5519e+00
  3.6300e+02  5.6358e+00
  3.8800e+02  3.9894e-01
  4.1300e+02  2.1218e-01
  4.3800e+02  4.3178e-01
  4.6300e+02  2.6135e-01
  4.8800e+02  1.4808e-01
  5.1300e+02  1.0004e-01
  5.3800e+02  1.1035e-01
  5.6300e+02  2.6452e-01
  5.8800e+02  1.0322e-01
  6.1300e+02  1.7209e+00
  6.3800e+02  8.7973e-01
  6.6300e+02  5.7694e-02
  6.8800e+02  1.4566e-01
  7.1300e+02  1.4975e-01
  7.3800e+02  4.2763e-02
  7.6300e+02  6.4389e-01
  7.8800e+02  3.5173e-01
  8.1300e+02  2.4381e-02
  8.3800e+02  1.8075e-02
  8.6300e+02  3.4439e-02
  8.8800e+02  2.6060e-02
  9.1300e+02  2.2517e-02
