HEAD:
#r_Orbit is 1AU
nbeam 53
DATA:
  wavelength        flux
  3.0000e+00  2.4996e-13
  8.0000e+00  5.4152e-07
  1.3000e+01  9.6231e-05
  1.8000e+01  8.2915e-04
  2.3000e+01  1.0427e-02
  2.8000e+01  9.0638e-03
  3.3000e+01  2.0581e-02
  3.8000e+01  5.0906e-03
  4.3000e+01  4.9356e-02
  4.8000e+01  2.2008e-02
  5.3000e+01  2.8604e-02
  5.8000e+01  3.9208e-02
  6.3000e+01  8.5243e-02
  6.8000e+01  6.1696e-02
  7.3000e+01  7.3284e-02
  7.8000e+01  5.5496e-02
  8.3000e+01  7.2550e-02
  8.8000e+01  4.5712e-02
  9.3000e+01  2.8634e-02
  9.8000e+01  5.5166e-02
  1.1300e+02  1.4123e-01
  1.3800e+02  1.5367e-01
  1.6300e+02  1.4479e+00
  1.8800e+02  6.1519e-01
  2.1300e+02  1.7227e-01
  2.3800e+02  3.5978e-01
  2.6300e+02  1.1311e-01
  2.8800e+02  1.5473e-01
  3.1300e+02  3.8653e-01
  3.3800e+02  1.4363e-01
  3.6300e+02  3.1401e-01
  3.8800e+02  2.4317e-02
  4.1300e+02  3.2240e-02
  4.3800e+02  1.4037e-01
  4.6300e+02  9.4057e-02
  4.8800e+02  5.0576e-03
  5.1300e+02  3.7191e-03
  5.3800e+02  2.6683e-03
  5.6300e+02  1.9362e-02
  5.8800e+02  3.5548e-03
  6.1300e+02  3.4544e-02
  6.3800e+02  1.9870e-02
  6.6300e+02  2.0829e-03
  6.8800e+02  1.1376e-02
  7.1300e+02  1.2240e-02
  7.3800e+02  2.3218e-03
  7.6300e+02  9.7641e-02
  7.8800e+02  5.1258e-02
  8.1300e+02  1.5571e-03
  8.3800e+02  9.2228e-04
  8.6300e+02  3.0671e-03
  8.8800e+02  4.2034e-03
  9.1300e+02  1.4850e-03
