HEAD:
#r_Orbit is 1AU
nbeam 53
DATA:
  wavelength        flux
  3.0000e+00  1.5771e-14
  8.0000e+00  4.0745e-08
  1.3000e+01  1.1336e-05
  1.8000e+01  1.2974e-04
  2.3000e+01  1.8757e-03
  2.8000e+01  2.0089e-03
  3.3000e+01  4.6766e-03
  3.8000e+01  1.1146e-03
  4.3000e+01  1.6798e-02
  4.8000e+01  5.3482e-03
  5.3000e+01  7.8144e-03
  5.8000e+01  9.6597e-03
  6.3000e+01  2.7455e-02
  6.8000e+01  2.1312e-02
  7.3000e+01  2.9054e-02
  7.8000e+01  1.9699e-02
  8.3000e+01  3.1583e-02
  8.8000e+01  1.8577e-02
  9.3000e+01  1.0726e-02
  9.8000e+01  2.2789e-02
  1.1300e+02  5.9103e-02
  1.3800e+02  5.8528e-02
  1.6300e+02  5.7763e-01
  1.8800e+02  1.8655e-01
  2.1300e+02  6.0579e-02
  2.3800e+02  1.4142e-01
  2.6300e+02  3.4007e-02
  2.8800e+02  6.6093e-02
  3.1300e+02  1.6244e-01
  3.3800e+02  4.6805e-02
  3.6300e+02  1.0668e-01
  3.8800e+02  9.7626e-03
  4.1300e+02  1.7785e-02
  4.3800e+02  7.0113e-02
  4.6300e+02  5.5341e-02
  4.8800e+02  2.4340e-03
  5.1300e+02  1.5925e-03
  5.3800e+02  1.1196e-03
  5.6300e+02  8.8863e-03
  5.8800e+02  1.6914e-03
  6.1300e+02  5.9563e-03
  6.3800e+02  4.3859e-03
  6.6300e+02  7.5247e-04
  6.8800e+02  4.5034e-03
  7.1300e+02  4.7991e-03
  7.3800e+02  8.1102e-04
  7.6300e+02  4.9620e-02
  7.8800e+02  2.5877e-02
  8.1300e+02  6.7090e-04
  8.3800e+02  3.6008e-04
  8.6300e+02  1.4297e-03
  8.8800e+02  2.3602e-03
  9.1300e+02  6.2915e-04
