HEAD:
#r_Orbit is 1AU
nbeam 53
DATA:
  wavelength        flux
  3.0000e+00  7.9162e-10
  8.0000e+00  1.1295e-04
  1.3000e+01  5.7987e-03
  1.8000e+01  3.4375e-02
  2.3000e+01  3.1667e-01
  2.8000e+01  1.7060e-01
  3.3000e+01  3.4965e-01
  3.8000e+01  1.2313e-01
  4.3000e+01  5.1576e-01
  4.8000e+01  3.7743e-01
  5.3000e+01  4.6519e-01
  5.8000e+01  5.9964e-01
  6.3000e+01  8.2068e-01
  6.8000e+01  5.6253e-01
  7.3000e+01  4.6464e-01
  7.8000e+01  4.5385e-01
  8.3000e+01  4.6194e-01
  8.8000e+01  3.9263e-01
  9.3000e+01  2.6609e-01
  9.8000e+01  4.4726e-01
  1.1300e+02  9.6519e-01
  1.3800e+02  1.2617e+00
  1.6300e+02  9.3483e+00
  1.8800e+02  8.6741e+00
  2.1300e+02  2.0449e+00
  2.3800e+02  2.6453e+00
  2.6300e+02  1.7073e+00
  2.8800e+02  1.0861e+00
  3.1300e+02  2.3193e+00
  3.3800e+02  1.5627e+00
  3.6300e+02  2.5385e+00
  3.8800e+02  1.7011e-01
  4.1300e+02  1.0289e-01
  4.3800e+02  4.4853e-01
  4.6300e+02  1.8762e-01
  4.8800e+02  4.2535e-02
  5.1300e+02  3.2145e-02
  5.3800e+02  3.0718e-02
  5.6300e+02  1.1101e-01
  5.8800e+02  3.0011e-02
  6.1300e+02  5.6337e-01
  6.3800e+02  2.9071e-01
  6.6300e+02  2.0129e-02
  6.8800e+02  7.2604e-02
  7.1300e+02  7.7385e-02
  7.3800e+02  1.8692e-02
  7.6300e+02  3.6651e-01
  7.8800e+02  1.9722e-01
  8.1300e+02  1.0082e-02
  8.3800e+02  7.1437e-03
  8.6300e+02  1.5879e-02
  8.8800e+02  1.2577e-02
  9.1300e+02  9.6125e-03
