HEAD:
#r_Orbit is 1AU
nbeam 53
DATA:
  wavelength        flux
  3.0000e+00  5.8650e-13
  8.0000e+00  1.2556e-06
  1.3000e+01  2.1378e-04
  1.8000e+01  1.7688e-03
  2.3000e+01  2.1687e-02
  2.8000e+01  1.7988e-02
  3.3000e+01  4.0581e-02
  3.8000e+01  1.0134e-02
  4.3000e+01  8.4582e-02
  4.8000e+01  4.2604e-02
  5.3000e+01  5.3403e-02
  5.8000e+01  7.5598e-02
  6.3000e+01  1.4964e-01
  6.8000e+01  1.0501e-01
  7.3000e+01  1.1620e-01
  7.8000e+01  9.3252e-02
  8.3000e+01  1.0861e-01
  8.8000e+01  7.1447e-02
  9.3000e+01  4.6831e-02
  9.8000e+01  8.5379e-02
  1.1300e+02  2.1685e-01
  1.3800e+02  2.4914e-01
  1.6300e+02  2.2876e+00
  1.8800e+02  1.1063e+00
  2.1300e+02  2.9078e-01
  2.3800e+02  5.7325e-01
  2.6300e+02  2.0407e-01
  2.8800e+02  2.3451e-01
  3.1300e+02  5.9193e-01
  3.3800e+02  2.5089e-01
  3.6300e+02  5.3856e-01
  3.8800e+02  3.8279e-02
  4.1300e+02  3.9704e-02
  4.3800e+02  1.8958e-01
  4.6300e+02  1.0795e-01
  4.8800e+02  7.0409e-03
  5.1300e+02  5.6278e-03
  5.3800e+02  4.0901e-03
  5.6300e+02  2.7940e-02
  5.8800e+02  4.9929e-03
  6.1300e+02  7.2436e-02
  6.3800e+02  3.9476e-02
  6.6300e+02  3.4701e-03
  6.8800e+02  1.8054e-02
  7.1300e+02  1.9531e-02
  7.3800e+02  3.9314e-03
  7.6300e+02  1.2993e-01
  7.8800e+02  6.8599e-02
  8.1300e+02  2.3467e-03
  8.3800e+02  1.4751e-03
  8.6300e+02  4.3755e-03
  8.8800e+02  5.0820e-03
  9.1300e+02  2.2624e-03
