HEAD:
#r_Orbit is 1AU
nbeam 53
DATA:
  wavelength        flux
  3.0000e+00  1.3544e-12
  8.0000e+00  2.8791e-06
  1.3000e+01  4.7735e-04
  1.8000e+01  3.8446e-03
  2.3000e+01  4.6306e-02
  2.8000e+01  3.7083e-02
  3.3000e+01  8.3241e-02
  3.8000e+01  2.0942e-02
  4.3000e+01  1.5290e-01
  4.8000e+01  8.6108e-02
  5.3000e+01  1.0469e-01
  5.8000e+01  1.5230e-01
  6.3000e+01  2.7711e-01
  6.8000e+01  1.8850e-01
  7.3000e+01  1.9261e-01
  7.8000e+01  1.6513e-01
  8.3000e+01  1.6709e-01
  8.8000e+01  1.1634e-01
  9.3000e+01  8.0497e-02
  9.8000e+01  1.3731e-01
  1.1300e+02  3.4517e-01
  1.3800e+02  4.2396e-01
  1.6300e+02  3.7753e+00
  1.8800e+02  2.0969e+00
  2.1300e+02  5.1739e-01
  2.3800e+02  9.5575e-01
  2.6300e+02  3.8796e-01
  2.8800e+02  3.6692e-01
  3.1300e+02  9.3901e-01
  3.3800e+02  4.6236e-01
  3.6300e+02  9.7440e-01
  3.8800e+02  6.2889e-02
  4.1300e+02  4.2863e-02
  4.3800e+02  2.4790e-01
  4.6300e+02  9.6140e-02
  4.8800e+02  9.7036e-03
  5.1300e+02  8.7872e-03
  5.3800e+02  6.4963e-03
  5.6300e+02  4.0763e-02
  5.8800e+02  6.9823e-03
  6.1300e+02  1.5556e-01
  6.3800e+02  8.1449e-02
  6.6300e+02  6.0882e-03
  6.8800e+02  2.9957e-02
  7.1300e+02  3.2618e-02
  7.3800e+02  7.0187e-03
  7.6300e+02  1.6533e-01
  7.8800e+02  8.8225e-02
  8.1300e+02  3.6441e-03
  8.3800e+02  2.4706e-03
  8.6300e+02  6.2723e-03
  8.8800e+02  5.2419e-03
  9.1300e+02  3.5646e-03
