HEAD:
#r_Orbit is 1AU
nbeam 53
DATA:
  wavelength        flux
  3.0000e+00  1.9718e-13
  8.0000e+00  4.2921e-07
  1.3000e+01  7.7529e-05
  1.8000e+01  6.7784e-04
  2.3000e+01  8.5993e-03
  2.8000e+01  7.5909e-03
  3.3000e+01  1.7272e-02
  3.8000e+01  4.2592e-03
  4.3000e+01  4.3133e-02
  4.8000e+01  1.8576e-02
  5.3000e+01  2.4409e-02
  5.8000e+01  3.3134e-02
  6.3000e+01  7.4018e-02
  6.8000e+01  5.4014e-02
  7.3000e+01  6.5305e-02
  7.8000e+01  4.8748e-02
  8.3000e+01  6.5517e-02
  8.8000e+01  4.0875e-02
  9.3000e+01  2.5324e-02
  9.8000e+01  4.9441e-02
  1.1300e+02  1.2681e-01
  1.3800e+02  1.3621e-01
  1.6300e+02  1.2914e+00
  1.8800e+02  5.3062e-01
  2.1300e+02  1.5115e-01
  2.3800e+02  3.2023e-01
  2.6300e+02  9.7469e-02
  2.8800e+02  1.3934e-01
  3.1300e+02  3.4727e-01
  3.3800e+02  1.2488e-01
  3.6300e+02  2.7436e-01
  3.8800e+02  2.1707e-02
  4.1300e+02  3.0265e-02
  4.3800e+02  1.2952e-01
  4.6300e+02  8.9354e-02
  4.8800e+02  4.6385e-03
  5.1300e+02  3.3504e-03
  5.3800e+02  2.3968e-03
  5.6300e+02  1.7625e-02
  5.8800e+02  3.2543e-03
  6.1300e+02  2.8409e-02
  6.3800e+02  1.6636e-02
  6.6300e+02  1.8336e-03
  6.8800e+02  1.0136e-02
  7.1300e+02  1.0891e-02
  7.3800e+02  2.0354e-03
  7.6300e+02  9.0357e-02
  7.8800e+02  4.7382e-02
  8.1300e+02  1.4040e-03
  8.3800e+02  8.2016e-04
  8.6300e+02  2.7987e-03
  8.8800e+02  3.9585e-03
  9.1300e+02  1.3357e-03
