HEAD:
#r_Orbit is 1AU
nbeam 53
DATA:
  wavelength        flux
  3.0000e+00  1.4663e-15
  8.0000e+00  9.7402e-09
  1.3000e+01  5.8184e-06
  1.8000e+01  8.2128e-05
  2.3000e+01  1.2764e-03
  2.8000e+01  1.4873e-03
  3.3000e+01  3.4918e-03
  3.8000e+01  8.2164e-04
  4.3000e+01  1.3945e-02
  4.8000e+01  4.0806e-03
  5.3000e+01  6.1650e-03
  5.8000e+01  7.4012e-03
  6.3000e+01  2.2531e-02
  6.8000e+01  1.7746e-02
  7.3000e+01  2.4810e-02
  7.8000e+01  1.6490e-02
  8.3000e+01  2.7375e-02
  8.8000e+01  1.5929e-02
  9.3000e+01  9.0692e-03
  9.8000e+01  1.9592e-02
  1.1300e+02  5.0917e-02
  1.3800e+02  4.9633e-02
  1.6300e+02  4.9377e-01
  1.8800e+02  1.5104e-01
  2.1300e+02  5.0618e-02
  2.3800e+02  1.2059e-01
  2.6300e+02  2.7479e-02
  2.8800e+02  5.7122e-02
  3.1300e+02  1.4003e-01
  3.3800e+02  3.8508e-02
  3.6300e+02  8.8531e-02
  3.8800e+02  8.3541e-03
  4.1300e+02  1.5908e-02
  4.3800e+02  6.1954e-02
  4.6300e+02  4.9856e-02
  4.8800e+02  2.1402e-03
  5.1300e+02  1.3768e-03
  5.3800e+02  9.6497e-04
  5.6300e+02  7.7625e-03
  5.8800e+02  1.4850e-03
  6.1300e+02  3.9716e-03
  6.3800e+02  3.2423e-03
  6.6300e+02  6.3199e-04
  6.8800e+02  3.8446e-03
  7.1300e+02  4.0904e-03
  7.3800e+02  6.7678e-04
  7.6300e+02  4.3942e-02
  7.8800e+02  2.2897e-02
  8.1300e+02  5.8061e-04
  8.3800e+02  3.0668e-04
  8.6300e+02  1.2517e-03
  8.8800e+02  2.1153e-03
  9.1300e+02  5.4307e-04
