HEAD:
#r_Orbit is 1AU
nbeam 53
DATA:
  wavelength        flux
  3.0000e+00  3.4169e-13
  8.0000e+00  7.3642e-07
  1.3000e+01  1.2848e-04
  1.8000e+01  1.0883e-03
  2.3000e+01  1.3544e-02
  2.8000e+01  1.1552e-02
  3.3000e+01  2.6163e-02
  3.8000e+01  6.4960e-03
  4.3000e+01  5.9488e-02
  4.8000e+01  2.7776e-02
  5.3000e+01  3.5597e-02
  5.8000e+01  4.9405e-02
  6.3000e+01  1.0365e-01
  6.8000e+01  7.4178e-02
  7.3000e+01  8.5929e-02
  7.8000e+01  6.6415e-02
  8.3000e+01  8.3425e-02
  8.8000e+01  5.3335e-02
  9.3000e+01  3.3940e-02
  9.8000e+01  6.4150e-02
  1.1300e+02  1.6379e-01
  1.3800e+02  1.8159e-01
  1.6300e+02  1.6956e+00
  1.8800e+02  7.5479e-01
  2.1300e+02  2.0650e-01
  2.3800e+02  4.2257e-01
  2.6300e+02  1.3894e-01
  2.8800e+02  1.7866e-01
  3.1300e+02  4.4787e-01
  3.3800e+02  1.7433e-01
  3.6300e+02  3.7859e-01
  3.8800e+02  2.8441e-02
  4.1300e+02  3.4885e-02
  4.3800e+02  1.5616e-01
  4.6300e+02  9.9760e-02
  4.8800e+02  5.6802e-03
  5.1300e+02  4.2920e-03
  5.3800e+02  3.0927e-03
  5.6300e+02  2.1998e-02
  5.8800e+02  4.0037e-03
  6.1300e+02  4.5019e-02
  6.3800e+02  2.5336e-02
  6.6300e+02  2.4851e-03
  6.8800e+02  1.3343e-02
  7.1300e+02  1.4383e-02
  7.3800e+02  2.7863e-03
  7.6300e+02  1.0813e-01
  7.8800e+02  5.6863e-02
  8.1300e+02  1.7945e-03
  8.3800e+02  1.0847e-03
  8.6300e+02  3.4717e-03
  8.8800e+02  4.5241e-03
  9.1300e+02  1.7176e-03
