HEAD:
#r_Orbit is 1AU
nbeam 53
DATA:
  wavelength        flux
  3.0000e+00  1.1214e-12
  8.0000e+00  2.3870e-06
  1.3000e+01  3.9779e-04
  1.8000e+01  3.2208e-03
  2.3000e+01  3.8932e-02
  2.8000e+01  3.1401e-02
  3.3000e+01  7.0560e-02
  3.8000e+01  1.7725e-02
  4.3000e+01  1.3324e-01
  4.8000e+01  7.3216e-02
  5.3000e+01  8.9598e-02
  5.8000e+01  1.2959e-01
  6.3000e+01  2.4015e-01
  6.8000e+01  1.6452e-01
  7.3000e+01  1.7133e-01
  7.8000e+01  1.4458e-01
  8.3000e+01  1.5144e-01
  8.8000e+01  1.0394e-01
  9.3000e+01  7.0976e-02
  9.8000e+01  1.2305e-01
  1.1300e+02  3.1013e-01
  1.3800e+02  3.7472e-01
  1.6300e+02  3.3617e+00
  1.8800e+02  1.8078e+00
  2.1300e+02  4.5250e-01
  2.3800e+02  8.4893e-01
  2.6300e+02  3.3426e-01
  2.8800e+02  3.3113e-01
  3.1300e+02  8.4444e-01
  3.3800e+02  4.0114e-01
  3.6300e+02  8.4892e-01
  3.8800e+02  5.6062e-02
  4.1300e+02  4.3130e-02
  4.3800e+02  2.3497e-01
  4.6300e+02  1.0357e-01
  4.8800e+02  9.0602e-03
  5.1300e+02  7.9342e-03
  5.3800e+02  5.8402e-03
  5.6300e+02  3.7468e-02
  5.8800e+02  6.4928e-03
  6.1300e+02  1.3064e-01
  6.3800e+02  6.8958e-02
  6.6300e+02  5.3421e-03
  6.8800e+02  2.6640e-02
  7.1300e+02  2.8961e-02
  7.3800e+02  6.1337e-03
  7.6300e+02  1.5797e-01
  7.8800e+02  8.4031e-02
  8.1300e+02  3.2950e-03
  8.3800e+02  2.1921e-03
  8.6300e+02  5.7929e-03
  8.8800e+02  5.3563e-03
  9.1300e+02  3.2111e-03
