HEAD:
#r_Orbit is 1AU
nbeam 53
DATA:
  wavelength        flux
  3.0000e+00  6.4298e-14
  8.0000e+00  1.4527e-07
  1.3000e+01  2.9538e-05
  1.8000e+01  2.8364e-04
  2.3000e+01  3.7888e-03
  2.8000e+01  3.6374e-03
  3.3000e+01  8.3637e-03
  3.8000e+01  2.0305e-03
  4.3000e+01  2.5131e-02
  4.8000e+01  9.2594e-03
  5.3000e+01  1.2819e-02
  5.8000e+01  1.6615e-02
  6.3000e+01  4.1988e-02
  6.8000e+01  3.1700e-02
  7.3000e+01  4.1051e-02
  7.8000e+01  2.8995e-02
  8.3000e+01  4.3202e-02
  8.8000e+01  2.6019e-02
  9.3000e+01  1.5471e-02
  9.8000e+01  3.1736e-02
  1.1300e+02  8.1940e-02
  1.3800e+02  8.3904e-02
  1.6300e+02  8.1433e-01
  1.8800e+02  2.9249e-01
  2.1300e+02  8.9485e-02
  2.3800e+02  2.0043e-01
  2.6300e+02  5.3512e-02
  2.8800e+02  9.0989e-02
  3.1300e+02  2.2487e-01
  3.3800e+02  7.1245e-02
  3.6300e+02  1.5971e-01
  3.8800e+02  1.3732e-02
  4.1300e+02  2.2606e-02
  4.3800e+02  9.1772e-02
  4.6300e+02  6.9091e-02
  4.8800e+02  3.2228e-03
  5.1300e+02  2.1905e-03
  5.3800e+02  1.5508e-03
  5.6300e+02  1.1946e-02
  5.8800e+02  2.2476e-03
  6.1300e+02  1.2318e-02
  6.3800e+02  7.9576e-03
  6.6300e+02  1.1001e-03
  6.8800e+02  6.3664e-03
  7.1300e+02  6.8078e-03
  7.3800e+02  1.2011e-03
  7.6300e+02  6.4608e-02
  7.8800e+02  3.3761e-02
  8.1300e+02  9.2091e-04
  8.3800e+02  5.1157e-04
  8.6300e+02  1.9123e-03
  8.8800e+02  2.9850e-03
  9.1300e+02  8.6855e-04
