HEAD:
#r_Orbit is 1AU
nbeam 53
DATA:
  wavelength        flux
  3.0000e+00  8.0353e-14
  8.0000e+00  1.7972e-07
  1.3000e+01  3.5452e-05
  1.8000e+01  3.3297e-04
  2.3000e+01  4.3968e-03
  2.8000e+01  4.1466e-03
  3.3000e+01  9.5142e-03
  3.8000e+01  2.3172e-03
  4.3000e+01  2.7606e-02
  4.8000e+01  1.0472e-02
  5.3000e+01  1.4351e-02
  5.8000e+01  1.8769e-02
  6.3000e+01  4.6343e-02
  6.8000e+01  3.4778e-02
  7.3000e+01  4.4518e-02
  7.8000e+01  3.1737e-02
  8.3000e+01  4.6492e-02
  8.8000e+01  2.8159e-02
  9.3000e+01  1.6857e-02
  9.8000e+01  3.4300e-02
  1.1300e+02  8.8464e-02
  1.3800e+02  9.1296e-02
  1.6300e+02  8.8265e-01
  1.8800e+02  3.2451e-01
  2.1300e+02  9.8028e-02
  2.3800e+02  2.1751e-01
  2.6300e+02  5.9413e-02
  2.8800e+02  9.8069e-02
  3.1300e+02  2.4270e-01
  3.3800e+02  7.8555e-02
  3.6300e+02  1.7547e-01
  3.8800e+02  1.4876e-02
  4.1300e+02  2.3878e-02
  4.3800e+02  9.7679e-02
  4.6300e+02  7.2624e-02
  4.8800e+02  3.4403e-03
  5.1300e+02  2.3605e-03
  5.3800e+02  1.6739e-03
  5.6300e+02  1.2800e-02
  5.8800e+02  2.4015e-03
  6.1300e+02  1.4345e-02
  6.3800e+02  9.0749e-03
  6.6300e+02  1.2024e-03
  6.8800e+02  6.9049e-03
  7.1300e+02  7.3896e-03
  7.3800e+02  1.3165e-03
  7.6300e+02  6.8674e-02
  7.8800e+02  3.5904e-02
  8.1300e+02  9.9186e-04
  8.3800e+02  5.5549e-04
  8.6300e+02  2.0466e-03
  8.8800e+02  3.1486e-03
  9.1300e+02  9.3676e-04
