HEAD:
#r_Orbit is 1AU
nbeam 53
DATA:
  wavelength        flux
  3.0000e+00  2.9047e-11
  8.0000e+00  6.9663e-06
  1.3000e+01  7.0341e-04
  1.8000e+01  5.2312e-03
  2.3000e+01  5.9577e-02
  2.8000e+01  4.4762e-02
  3.3000e+01  9.9297e-02
  3.8000e+01  2.6215e-02
  4.3000e+01  1.7713e-01
  4.8000e+01  1.0321e-01
  5.3000e+01  1.2557e-01
  5.8000e+01  1.8016e-01
  6.3000e+01  3.1736e-01
  6.8000e+01  2.1575e-01
  7.3000e+01  2.1586e-01
  7.8000e+01  1.8754e-01
  8.3000e+01  1.8865e-01
  8.8000e+01  1.3419e-01
  9.3000e+01  9.2868e-02
  9.8000e+01  1.5771e-01
  1.1300e+02  3.9072e-01
  1.3800e+02  4.8403e-01
  1.6300e+02  4.2385e+00
  1.8800e+02  2.4895e+00
  2.1300e+02  6.0944e-01
  2.3800e+02  1.0832e+00
  2.6300e+02  4.6424e-01
  2.8800e+02  4.1710e-01
  3.1300e+02  1.0521e+00
  3.3800e+02  5.3615e-01
  3.6300e+02  1.1027e+00
  3.8800e+02  7.1093e-02
  4.1300e+02  4.6846e-02
  4.3800e+02  2.6921e-01
  4.6300e+02  1.0197e-01
  4.8800e+02  1.1442e-02
  5.1300e+02  1.0202e-02
  5.3800e+02  7.7909e-03
  5.6300e+02  4.5841e-02
  5.8800e+02  8.2183e-03
  6.1300e+02  1.8272e-01
  6.3800e+02  9.5386e-02
  6.6300e+02  7.0301e-03
  6.8800e+02  3.3586e-02
  7.1300e+02  3.6522e-02
  7.3800e+02  7.9529e-03
  7.6300e+02  1.8160e-01
  7.8800e+02  9.7026e-02
  8.1300e+02  4.1164e-03
  8.3800e+02  2.8114e-03
  8.6300e+02  7.0053e-03
  8.8800e+02  5.7095e-03
  9.1300e+02  4.0207e-03
