HEAD:
#r_Orbit is 1AU
nbeam 53
DATA:
  wavelength        flux
  3.0000e+00  9.5405e-14
  8.0000e+00  2.1194e-07
  1.3000e+01  4.0930e-05
  1.8000e+01  3.7824e-04
  2.3000e+01  4.9515e-03
  2.8000e+01  4.6060e-03
  3.3000e+01  1.0550e-02
  3.8000e+01  2.5760e-03
  4.3000e+01  2.9756e-02
  4.8000e+01  1.1559e-02
  5.3000e+01  1.5713e-02
  5.8000e+01  2.0698e-02
  6.3000e+01  5.0149e-02
  6.8000e+01  3.7447e-02
  7.3000e+01  4.7463e-02
  7.8000e+01  3.4106e-02
  8.3000e+01  4.9238e-02
  8.8000e+01  2.9969e-02
  9.3000e+01  1.8046e-02
  9.8000e+01  3.6461e-02
  1.1300e+02  9.3952e-02
  1.3800e+02  9.7615e-02
  1.6300e+02  9.4061e-01
  1.8800e+02  3.5268e-01
  2.1300e+02  1.0541e-01
  2.3800e+02  2.3204e-01
  2.6300e+02  6.4609e-02
  2.8800e+02  1.0400e-01
  3.1300e+02  2.5768e-01
  3.3800e+02  8.4936e-02
  3.6300e+02  1.8916e-01
  3.8800e+02  1.5846e-02
  4.1300e+02  2.4873e-02
  4.3800e+02  1.0245e-01
  4.6300e+02  7.5319e-02
  4.8800e+02  3.6178e-03
  5.1300e+02  2.5029e-03
  5.3800e+02  1.7774e-03
  5.6300e+02  1.3506e-02
  5.8800e+02  2.5273e-03
  6.1300e+02  1.6198e-02
  6.3800e+02  1.0083e-02
  6.6300e+02  1.2905e-03
  6.8800e+02  7.3625e-03
  7.1300e+02  7.8846e-03
  7.3800e+02  1.4164e-03
  7.6300e+02  7.1942e-02
  7.8800e+02  3.7630e-02
  8.1300e+02  1.0512e-03
  8.3800e+02  5.9288e-04
  8.6300e+02  2.1570e-03
  8.8800e+02  3.2758e-03
  9.1300e+02  9.9400e-04
