HEAD:
#r_Orbit is 1AU
nbeam 53
DATA:
  wavelength        flux
  3.0000e+00  2.3688e-13
  8.0000e+00  5.1363e-07
  1.3000e+01  9.1556e-05
  1.8000e+01  7.9106e-04
  2.3000e+01  9.9649e-03
  2.8000e+01  8.6878e-03
  3.3000e+01  1.9735e-02
  3.8000e+01  4.8785e-03
  4.3000e+01  4.7710e-02
  4.8000e+01  2.1127e-02
  5.3000e+01  2.7519e-02
  5.8000e+01  3.7648e-02
  6.3000e+01  8.2293e-02
  6.8000e+01  5.9660e-02
  7.3000e+01  7.1120e-02
  7.8000e+01  5.3700e-02
  8.3000e+01  7.0602e-02
  8.8000e+01  4.4394e-02
  9.3000e+01  2.7746e-02
  9.8000e+01  5.3600e-02
  1.1300e+02  1.3728e-01
  1.3800e+02  1.4897e-01
  1.6300e+02  1.4054e+00
  1.8800e+02  5.9310e-01
  2.1300e+02  1.6666e-01
  2.3800e+02  3.4907e-01
  2.6300e+02  1.0903e-01
  2.8800e+02  1.5049e-01
  3.1300e+02  3.7575e-01
  3.3800e+02  1.3870e-01
  3.6300e+02  3.0352e-01
  3.8800e+02  2.3607e-02
  4.1300e+02  3.1631e-02
  4.3800e+02  1.3722e-01
  4.6300e+02  9.2516e-02
  4.8800e+02  4.9376e-03
  5.1300e+02  3.6174e-03
  5.3800e+02  2.5938e-03
  5.6300e+02  1.8873e-02
  5.8800e+02  3.4691e-03
  6.1300e+02  3.2995e-02
  6.3800e+02  1.9045e-02
  6.6300e+02  2.0164e-03
  6.8800e+02  1.1040e-02
  7.1300e+02  1.1875e-02
  7.3800e+02  2.2458e-03
  7.6300e+02  9.5505e-02
  7.8800e+02  5.0125e-02
  8.1300e+02  1.5148e-03
  8.3800e+02  8.9468e-04
  8.6300e+02  2.9912e-03
  8.8800e+02  4.1267e-03
  9.1300e+02  1.4439e-03
