I           X1          NDT_H       VX1_H       TMP_H       NDT_HE      VX1_HE      TMP_HE      NDT_H+      VX1_H+      TMP_H+      NDT_HE+     VX1_HE+     TMP_HE+     NDT_ELC     VX1_ELC     TMP_ELC     
25          9.8238e+09  3.9077e+12  2.5046e+01  1.5000e+03  3.1291e+11  2.3839e+01  1.5000e+03  1.4101e+08  2.5016e+01  1.5000e+03  3.9372e+06  2.3087e+01  1.5000e+03  1.4495e+08  2.4964e+01  1.5001e+03  
26          9.8293e+09  3.7223e+12  2.5678e+01  1.5000e+03  3.0129e+11  2.4405e+01  1.5000e+03  1.4145e+08  2.5646e+01  1.5000e+03  4.1621e+06  2.3670e+01  1.5000e+03  1.4561e+08  2.5589e+01  1.5001e+03  
27          9.8348e+09  3.5429e+12  2.7645e+01  1.5000e+03  2.9013e+11  2.6304e+01  1.5000e+03  1.4190e+08  2.7611e+01  1.5000e+03  4.4048e+06  2.5596e+01  1.5000e+03  1.4631e+08  2.7550e+01  1.5002e+03  
28          9.8404e+09  3.3693e+12  2.8336e+01  1.5000e+03  2.7936e+11  2.6923e+01  1.5000e+03  1.4237e+08  2.8300e+01  1.5000e+03  4.6664e+06  2.6253e+01  1.5000e+03  1.4703e+08  2.8235e+01  1.5002e+03  
29          9.8461e+09  3.2016e+12  2.9951e+01  1.5000e+03  2.6892e+11  2.8463e+01  1.5000e+03  1.4283e+08  2.9913e+01  1.5000e+03  4.9480e+06  2.7841e+01  1.5000e+03  1.4778e+08  2.9843e+01  1.5002e+03  
30          9.8519e+09  3.0397e+12  3.1367e+01  1.5000e+03  2.5879e+11  2.9801e+01  1.5000e+03  1.4328e+08  3.1326e+01  1.5000e+03  5.2507e+06  2.9236e+01  1.5000e+03  1.4853e+08  3.1252e+01  1.5002e+03  
31          9.8578e+09  2.8836e+12  3.2942e+01  1.5000e+03  2.4891e+11  3.1294e+01  1.5000e+03  1.4372e+08  3.2899e+01  1.5000e+03  5.5755e+06  3.0795e+01  1.5000e+03  1.4929e+08  3.2820e+01  1.5002e+03  
32          9.8638e+09  2.7331e+12  3.4609e+01  1.5000e+03  2.3926e+11  3.2874e+01  1.5000e+03  1.4412e+08  3.4563e+01  1.5000e+03  5.9234e+06  3.2450e+01  1.5000e+03  1.5005e+08  3.4480e+01  1.5002e+03  
33          9.8698e+09  2.5883e+12  3.6392e+01  1.5000e+03  2.2982e+11  3.4566e+01  1.5000e+03  1.4449e+08  3.6343e+01  1.5000e+03  6.2953e+06  3.4224e+01  1.5000e+03  1.5078e+08  3.6255e+01  1.5002e+03  
34          9.8759e+09  2.4491e+12  3.8295e+01  1.5000e+03  2.2056e+11  3.6373e+01  1.5000e+03  1.4480e+08  3.8244e+01  1.5000e+03  6.6922e+06  3.6121e+01  1.5000e+03  1.5149e+08  3.8150e+01  1.5002e+03  
35          9.8822e+09  2.3153e+12  4.0330e+01  1.5000e+03  2.1147e+11  3.8307e+01  1.5000e+03  1.4504e+08  4.0276e+01  1.5000e+03  7.1147e+06  3.8151e+01  1.5000e+03  1.5216e+08  4.0177e+01  1.5002e+03  
36          9.8885e+09  2.1869e+12  4.2507e+01  1.5000e+03  2.0254e+11  4.0376e+01  1.5000e+03  1.4522e+08  4.2450e+01  1.5000e+03  7.5635e+06  4.0324e+01  1.5000e+03  1.5278e+08  4.2344e+01  1.5002e+03  
37          9.8949e+09  2.0638e+12  4.4837e+01  1.5000e+03  1.9377e+11  4.2592e+01  1.5000e+03  1.4531e+08  4.4776e+01  1.5000e+03  8.0391e+06  4.2651e+01  1.5000e+03  1.5335e+08  4.4665e+01  1.5002e+03  
38          9.9014e+09  1.9460e+12  4.7332e+01  1.5000e+03  1.8514e+11  4.4966e+01  1.5000e+03  1.4530e+08  4.7268e+01  1.5000e+03  8.5418e+06  4.5142e+01  1.5000e+03  1.5384e+08  4.7150e+01  1.5002e+03  
39          9.9080e+09  1.8332e+12  5.0007e+01  1.5000e+03  1.7667e+11  4.7512e+01  1.5000e+03  1.4519e+08  4.9940e+01  1.5000e+03  9.0718e+06  4.7812e+01  1.5000e+03  1.5426e+08  4.9814e+01  1.5002e+03  
40          9.9147e+09  1.7255e+12  5.2877e+01  1.5000e+03  1.6835e+11  5.0244e+01  1.5000e+03  1.4496e+08  5.2805e+01  1.5000e+03  9.6291e+06  5.0674e+01  1.5000e+03  1.5459e+08  5.2672e+01  1.5002e+03  
41          9.9215e+09  1.6226e+12  5.5956e+01  1.5000e+03  1.6020e+11  5.3177e+01  1.5000e+03  1.4461e+08  5.5880e+01  1.5000e+03  1.0213e+07  5.3745e+01  1.5000e+03  1.5483e+08  5.5739e+01  1.5002e+03  
42          9.9284e+09  1.5246e+12  5.9264e+01  1.5000e+03  1.5221e+11  5.6329e+01  1.5000e+03  1.4413e+08  5.9184e+01  1.5000e+03  1.0824e+07  5.7042e+01  1.5000e+03  1.5496e+08  5.9034e+01  1.5002e+03  
