I           X1          NDT_H       VX1_H       TMP_H       NDT_HE      VX1_HE      TMP_HE      NDT_H+      VX1_H+      TMP_H+      NDT_HE+     VX1_HE+     TMP_HE+     NDT_ELC     VX1_ELC     TMP_ELC     
25          9.8238e+09  3.6832e+12  2.4348e+00  1.3421e+03  3.1051e+11  1.1606e+00  1.3421e+03  7.2984e+07  2.4116e+00  1.3421e+03  1.2295e+06  5.1850e-01  1.3421e+03  7.4214e+07  2.4094e+00  1.3421e+03  
26          9.8293e+09  3.5070e+12  1.4480e+00  1.3346e+03  2.9799e+11  9.8576e-02  1.3346e+03  7.3200e+07  1.4233e+00  1.3346e+03  1.3061e+06  -5.3433e-01 1.3346e+03  7.4506e+07  1.4114e+00  1.3346e+03  
27          9.8348e+09  3.3355e+12  3.0618e+00  1.3270e+03  2.8602e+11  1.6326e+00  1.3270e+03  7.3422e+07  3.0356e+00  1.3270e+03  1.3894e+06  1.0134e+00  1.3270e+03  7.4811e+07  3.0256e+00  1.3270e+03  
28          9.8404e+09  3.1686e+12  1.9352e+00  1.3193e+03  2.7453e+11  4.2169e-01  1.3193e+03  7.3644e+07  1.9074e+00  1.3193e+03  1.4798e+06  -1.7899e-01 1.3193e+03  7.5124e+07  1.8863e+00  1.3193e+03  
29          9.8461e+09  3.0064e+12  2.5135e+00  1.3116e+03  2.6348e+11  9.1035e-01  1.3116e+03  7.3860e+07  2.4841e+00  1.3116e+03  1.5779e+06  3.3339e-01  1.3116e+03  7.5438e+07  2.4659e+00  1.3116e+03  
30          9.8519e+09  2.8489e+12  2.5169e+00  1.3038e+03  2.5280e+11  8.1850e-01  1.3038e+03  7.4063e+07  2.4858e+00  1.3038e+03  1.6843e+06  2.7095e-01  1.3038e+03  7.5748e+07  2.4607e+00  1.3038e+03  
31          9.8578e+09  2.6963e+12  2.6609e+00  1.2960e+03  2.4246e+11  8.6114e-01  1.2960e+03  7.4249e+07  2.6281e+00  1.2960e+03  1.7995e+06  3.4913e-01  1.2960e+03  7.6048e+07  2.5988e+00  1.2960e+03  
32          9.8638e+09  2.5485e+12  2.7899e+00  1.2880e+03  2.3242e+11  8.8183e-01  1.2880e+03  7.4409e+07  2.7552e+00  1.2880e+03  1.9241e+06  4.1200e-01  1.2880e+03  7.6333e+07  2.7206e+00  1.2880e+03  
33          9.8698e+09  2.4055e+12  2.9408e+00  1.2800e+03  2.2264e+11  9.1704e-01  1.2800e+03  7.4538e+07  2.9042e+00  1.2800e+03  2.0587e+06  4.9660e-01  1.2800e+03  7.6596e+07  2.8640e+00  1.2801e+03  
34          9.8759e+09  2.2674e+12  3.1069e+00  1.2720e+03  2.1310e+11  9.5901e-01  1.2720e+03  7.4628e+07  3.0682e+00  1.2720e+03  2.2040e+06  5.9582e-01  1.2720e+03  7.6832e+07  3.0217e+00  1.2720e+03  
35          9.8822e+09  2.1342e+12  3.2921e+00  1.2639e+03  2.0376e+11  1.0110e+00  1.2639e+03  7.4672e+07  3.2512e+00  1.2639e+03  2.3606e+06  7.1361e-01  1.2639e+03  7.7033e+07  3.1979e+00  1.2639e+03  
36          9.8885e+09  2.0059e+12  3.4982e+00  1.2557e+03  1.9463e+11  1.0736e+00  1.2557e+03  7.4662e+07  3.4550e+00  1.2557e+03  2.5291e+06  8.5145e-01  1.2557e+03  7.7191e+07  3.3941e+00  1.2557e+03  
37          9.8949e+09  1.8825e+12  3.7275e+00  1.2474e+03  1.8567e+11  1.1481e+00  1.2474e+03  7.4589e+07  3.6819e+00  1.2474e+03  2.7099e+06  1.0116e+00  1.2474e+03  7.7299e+07  3.6127e+00  1.2474e+03  
38          9.9014e+09  1.7639e+12  3.9827e+00  1.2391e+03  1.7688e+11  1.2359e+00  1.2391e+03  7.4444e+07  3.9345e+00  1.2391e+03  2.9038e+06  1.1966e+00  1.2391e+03  7.7348e+07  3.8561e+00  1.2391e+03  
