I           X1          NDT_H       VX1_H       TMP_H       NDT_HE      VX1_HE      TMP_HE      NDT_H+      VX1_H+      TMP_H+      NDT_HE+     VX1_HE+     TMP_HE+     NDT_ELC     VX1_ELC     TMP_ELC     
25          2.7029e+09  5.7124e+12  2.5326e+00  6.5000e+02  4.3546e+11  1.8981e+00  6.5000e+02  6.6021e+06  2.5321e+00  6.5000e+02  9.9493e+03  1.3364e+00  6.5000e+02  6.6120e+06  2.5345e+00  6.5013e+02  
26          2.7045e+09  5.5780e+12  2.4577e+00  6.5000e+02  4.2189e+11  1.8036e+00  6.5000e+02  6.5360e+06  2.4580e+00  6.5000e+02  9.9520e+03  1.2023e+00  6.5000e+02  6.5460e+06  2.4558e+00  6.5013e+02  
27          2.7061e+09  5.4447e+12  2.7349e+00  6.5000e+02  4.0869e+11  2.0605e+00  6.5000e+02  6.4669e+06  2.7359e+00  6.5000e+02  9.9537e+03  1.4898e+00  6.5000e+02  6.4769e+06  2.7345e+00  6.5013e+02  
28          2.7077e+09  5.3126e+12  2.6223e+00  6.5000e+02  3.9586e+11  1.9270e+00  6.5000e+02  6.3955e+06  2.6238e+00  6.5000e+02  9.9544e+03  1.3147e+00  6.5000e+02  6.4055e+06  2.6246e+00  6.5013e+02  
29          2.7094e+09  5.1817e+12  2.7585e+00  6.5000e+02  3.8337e+11  2.0416e+00  6.5000e+02  6.3223e+06  2.7604e+00  6.5000e+02  9.9564e+03  1.4162e+00  6.5000e+02  6.3323e+06  2.7608e+00  6.5013e+02  
30          2.7111e+09  5.0521e+12  2.8169e+00  6.5000e+02  3.7123e+11  2.0776e+00  6.5000e+02  6.2479e+06  2.8191e+00  6.5000e+02  9.9581e+03  1.4361e+00  6.5000e+02  6.2579e+06  2.8192e+00  6.5014e+02  
31          2.7128e+09  4.9238e+12  2.8956e+00  6.5000e+02  3.5942e+11  2.1333e+00  6.5000e+02  6.1726e+06  2.8980e+00  6.5000e+02  9.9597e+03  1.4748e+00  6.5000e+02  6.1825e+06  2.8981e+00  6.5014e+02  
32          2.7145e+09  4.7968e+12  2.9740e+00  6.5000e+02  3.4793e+11  2.1877e+00  6.5000e+02  6.0967e+06  2.9764e+00  6.5000e+02  9.9614e+03  1.5119e+00  6.5000e+02  6.1067e+06  2.9764e+00  6.5014e+02  
33          2.7163e+09  4.6712e+12  3.0566e+00  6.5000e+02  3.3674e+11  2.2457e+00  6.5000e+02  6.0206e+06  3.0592e+00  6.5000e+02  9.9631e+03  1.5520e+00  6.5000e+02  6.0306e+06  3.0590e+00  6.5014e+02  
34          2.7181e+09  4.5471e+12  3.1428e+00  6.5000e+02  3.2586e+11  2.3062e+00  6.5000e+02  5.9445e+06  3.1453e+00  6.5000e+02  9.9647e+03  1.5941e+00  6.5000e+02  5.9544e+06  3.1450e+00  6.5014e+02  
35          2.7200e+09  4.4244e+12  3.2328e+00  6.5000e+02  3.1527e+11  2.3697e+00  6.5000e+02  5.8685e+06  3.2352e+00  6.5000e+02  9.9664e+03  1.6387e+00  6.5000e+02  5.8785e+06  3.2349e+00  6.5015e+02  
36          2.7218e+09  4.3032e+12  3.3269e+00  6.5000e+02  3.0496e+11  2.4362e+00  6.5000e+02  5.7929e+06  3.3292e+00  6.5000e+02  9.9680e+03  1.6858e+00  6.5000e+02  5.8029e+06  3.3287e+00  6.5015e+02  
37          2.7238e+09  4.1835e+12  3.4254e+00  6.5000e+02  2.9492e+11  2.5060e+00  6.5000e+02  5.7179e+06  3.4273e+00  6.5000e+02  9.9696e+03  1.7356e+00  6.5000e+02  5.7279e+06  3.4267e+00  6.5015e+02  
38          2.7257e+09  4.0654e+12  3.5283e+00  6.5000e+02  2.8515e+11  2.5793e+00  6.5000e+02  5.6439e+06  3.5299e+00  6.5000e+02  9.9713e+03  1.7883e+00  6.5000e+02  5.6539e+06  3.5291e+00  6.5015e+02  
39          2.7277e+09  3.9489e+12  3.6360e+00  6.5000e+02  2.7565e+11  2.6561e+00  6.5000e+02  5.5710e+06  3.6371e+00  6.5000e+02  9.9729e+03  1.8440e+00  6.5000e+02  5.5810e+06  3.6362e+00  6.5015e+02  
40          2.7297e+09  3.8340e+12  3.7488e+00  6.5000e+02  2.6639e+11  2.7368e+00  6.5000e+02  5.4998e+06  3.7491e+00  6.5000e+02  9.9745e+03  1.9029e+00  6.5000e+02  5.5098e+06  3.7481e+00  6.5016e+02  
41          2.7317e+09  3.7208e+12  3.8669e+00  6.5000e+02  2.5738e+11  2.8215e+00  6.5000e+02  5.4307e+06  3.8662e+00  6.5000e+02  9.9761e+03  1.9653e+00  6.5000e+02  5.4407e+06  3.8651e+00  6.5016e+02  
42          2.7338e+09  3.6093e+12  3.9906e+00  6.5000e+02  2.4861e+11  2.9104e+00  6.5000e+02  5.3643e+06  3.9887e+00  6.5000e+02  9.9778e+03  2.0314e+00  6.5000e+02  5.3743e+06  3.9873e+00  6.5016e+02  
43          2.7359e+09  3.4995e+12  4.1203e+00  6.5000e+02  2.4007e+11  3.0038e+00  6.5000e+02  5.3014e+06  4.1166e+00  6.5000e+02  9.9794e+03  2.1015e+00  6.5000e+02  5.3114e+06  4.1151e+00  6.5016e+02  
44          2.7380e+09  3.3915e+12  4.2562e+00  6.5000e+02  2.3176e+11  3.1020e+00  6.5000e+02  5.2428e+06  4.2504e+00  6.5000e+02  9.9811e+03  2.1758e+00  6.5000e+02  5.2528e+06  4.2487e+00  6.5017e+02  
45          2.7402e+09  3.2852e+12  4.3988e+00  6.5000e+02  2.2367e+11  3.2051e+00  6.5000e+02  5.1896e+06  4.3901e+00  6.5000e+02  9.9828e+03  2.2548e+00  6.5000e+02  5.1995e+06  4.3883e+00  6.5017e+02  
46          2.7424e+09  3.1807e+12  4.5485e+00  6.5000e+02  2.1580e+11  3.3137e+00  6.5000e+02  5.1428e+06  4.5363e+00  6.5000e+02  9.9846e+03  2.3388e+00  6.5000e+02  5.1528e+06  4.5343e+00  6.5017e+02  
47          2.7446e+09  3.0781e+12  4.7052e+00  6.5000e+02  2.0815e+11  3.4274e+00  6.5000e+02  5.1038e+06  4.6887e+00  6.5000e+02  9.9864e+03  2.4279e+00  6.5000e+02  5.1138e+06  4.6866e+00  6.5017e+02  
48          2.7469e+09  2.9772e+12  4.8717e+00  6.5000e+02  2.0069e+11  3.5490e+00  6.5000e+02  5.0741e+06  4.8500e+00  6.5000e+02  9.9882e+03  2.5248e+00  6.5000e+02  5.0841e+06  4.8477e+00  6.5017e+02  
49          2.7493e+09  2.8783e+12  5.0356e+00  6.5000e+02  1.9344e+11  3.6660e+00  6.5000e+02  5.0551e+06  5.0077e+00  6.5000e+02  9.9902e+03  2.6174e+00  6.5000e+02  5.0651e+06  5.0051e+00  6.5017e+02  
50          2.7516e+09  2.7812e+12  5.2644e+00  6.5000e+02  1.8639e+11  3.8457e+00  6.5000e+02  5.0486e+06  5.2292e+00  6.5000e+02  9.9922e+03  2.7739e+00  6.5000e+02  5.0586e+06  5.2275e+00  6.5017e+02  
51          2.7540e+09  2.6859e+12  5.3301e+00  6.5000e+02  1.7953e+11  3.8600e+00  6.5000e+02  5.0562e+06  5.2865e+00  6.5000e+02  9.9936e+03  2.7879e+00  6.5000e+02  5.0662e+06  5.2822e+00  6.5017e+02  
52          2.7565e+09  2.5926e+12  5.7302e+00  6.5000e+02  1.7287e+11  4.2061e+00  6.5000e+02  5.0797e+06  5.6770e+00  6.5000e+02  9.9964e+03  2.9951e+00  6.5000e+02  5.0897e+06  5.6727e+00  6.5017e+02  
53          2.7590e+09  2.5012e+12  5.7728e+00  6.5000e+02  1.6638e+11  4.1923e+00  6.5000e+02  5.1205e+06  5.7091e+00  6.5000e+02  1.0135e+04  2.4185e+00  6.5000e+02  5.1306e+06  5.7052e+00  6.5017e+02  
54          2.7615e+09  2.4118e+12  6.0596e+00  6.5000e+02  1.6008e+11  4.4199e+00  6.5000e+02  5.1802e+06  5.9846e+00  6.5000e+02  1.0575e+04  1.9470e+00  6.5000e+02  5.1908e+06  5.9787e+00  6.5017e+02  
55          2.7641e+09  2.3242e+12  6.2801e+00  6.5000e+02  1.5396e+11  4.5782e+00  6.5000e+02  5.2601e+06  6.1931e+00  6.5000e+02  1.1299e+04  1.6162e+00  6.5000e+02  5.2714e+06  6.1855e+00  6.5016e+02  
56          2.7667e+09  2.2386e+12  6.5297e+00  6.5000e+02  1.4801e+11  4.7626e+00  6.5000e+02  5.3609e+06  6.4303e+00  6.5000e+02  1.2251e+04  1.5031e+00  6.5000e+02  5.3731e+06  6.4213e+00  6.5016e+02  
57          2.7693e+09  2.1550e+12  6.7892e+00  6.5000e+02  1.4223e+11  4.9536e+00  6.5000e+02  5.4834e+06  6.6773e+00  6.5000e+02  1.3398e+04  1.5032e+00  6.5000e+02  5.4968e+06  6.6669e+00  6.5016e+02  
58          2.7720e+09  2.0732e+12  7.0634e+00  6.5000e+02  1.3662e+11  5.1558e+00  6.5000e+02  5.6280e+06  6.9390e+00  6.5000e+02  1.4737e+04  1.5584e+00  6.5000e+02  5.6428e+06  6.9271e+00  6.5015e+02  
59          2.7748e+09  1.9935e+12  7.3525e+00  6.5000e+02  1.3117e+11  5.3691e+00  6.5000e+02  5.7950e+06  7.2156e+00  6.5000e+02  1.6291e+04  1.6406e+00  6.5000e+02  5.8113e+06  7.2022e+00  6.5015e+02  
60          2.7776e+09  1.9157e+12  7.6575e+00  6.5000e+02  1.2588e+11  5.5943e+00  6.5000e+02  5.9845e+06  7.5084e+00  6.5000e+02  1.8096e+04  1.7452e+00  6.5000e+02  6.0026e+06  7.4932e+00  6.5014e+02  
61          2.7804e+09  1.8398e+12  7.9794e+00  6.5000e+02  1.2075e+11  5.8323e+00  6.5000e+02  6.1964e+06  7.8184e+00  6.5000e+02  2.0196e+04  1.8763e+00  6.5000e+02  6.2166e+06  7.8013e+00  6.5014e+02  
62          2.7833e+09  1.7659e+12  8.3192e+00  6.5000e+02  1.1578e+11  6.0836e+00  6.5000e+02  6.4306e+06  8.1468e+00  6.5000e+02  2.2641e+04  2.0405e+00  6.5000e+02  6.4533e+06  8.1276e+00  6.5013e+02  
63          2.7862e+09  1.6940e+12  8.6782e+00  6.5000e+02  1.1096e+11  6.3493e+00  6.5000e+02  6.6868e+06  8.4948e+00  6.5000e+02  2.5485e+04  2.2430e+00  6.5000e+02  6.7123e+06  8.4733e+00  6.5013e+02  
64          2.7892e+09  1.6239e+12  9.0576e+00  6.5000e+02  1.0629e+11  6.6303e+00  6.5000e+02  6.9647e+06  8.8636e+00  6.5000e+02  2.8792e+04  2.4879e+00  6.5000e+02  6.9935e+06  8.8396e+00  6.5012e+02  
