I           X1          NDT_H       VX1_H       TMP_H       NDT_HE      VX1_HE      TMP_HE      NDT_H+      VX1_H+      TMP_H+      NDT_HE+     VX1_HE+     TMP_HE+     NDT_ELC     VX1_ELC     TMP_ELC     
25          9.8238e+09  3.7536e+12  2.6690e+00  1.3421e+03  2.5019e+11  1.6671e+00  1.3421e+03  1.5248e+07  2.6207e+00  1.3421e+03  3.2562e+04  -2.7487e-01 1.3421e+03  1.5280e+07  2.6264e+00  1.3428e+03  
26          9.8293e+09  3.5886e+12  1.8473e+00  1.3346e+03  2.3410e+11  7.9106e-01  1.3346e+03  1.5660e+07  1.7978e+00  1.3346e+03  3.5826e+04  -1.2344e+00 1.3346e+03  1.5696e+07  1.7946e+00  1.3352e+03  
27          9.8348e+09  3.4281e+12  3.3561e+00  1.3270e+03  2.1893e+11  2.2415e+00  1.3270e+03  1.6076e+07  3.3053e+00  1.3270e+03  3.9418e+04  1.3223e-01  1.3270e+03  1.6116e+07  3.3063e+00  1.3276e+03  
28          9.8404e+09  3.2721e+12  2.4036e+00  1.3193e+03  2.0464e+11  1.2263e+00  1.3193e+03  1.6496e+07  2.3514e+00  1.3193e+03  4.3366e+04  -9.6615e-01 1.3193e+03  1.6540e+07  2.3459e+00  1.3200e+03  
29          9.8461e+09  3.1206e+12  2.9842e+00  1.3116e+03  1.9119e+11  1.7395e+00  1.3116e+03  1.6918e+07  2.9306e+00  1.3116e+03  4.7701e+04  -5.3531e-01 1.3116e+03  1.6966e+07  2.9300e+00  1.3122e+03  
30          9.8519e+09  2.9735e+12  3.0500e+00  1.3038e+03  1.7854e+11  1.7328e+00  1.3038e+03  1.7342e+07  2.9949e+00  1.3038e+03  5.2459e+04  -6.2271e-01 1.3038e+03  1.7394e+07  2.9908e+00  1.3044e+03  
31          9.8578e+09  2.8309e+12  3.2414e+00  1.2960e+03  1.6666e+11  1.8460e+00  1.2960e+03  1.7765e+07  3.1849e+00  1.2960e+03  5.7677e+04  -5.8769e-01 1.2960e+03  1.7823e+07  3.1799e+00  1.2965e+03  
32          9.8638e+09  2.6926e+12  3.4187e+00  1.2880e+03  1.5551e+11  1.9390e+00  1.2880e+03  1.8187e+07  3.3607e+00  1.2880e+03  6.3397e+04  -5.6969e-01 1.2880e+03  1.8250e+07  3.3541e+00  1.2886e+03  
33          9.8698e+09  2.5587e+12  3.6147e+00  1.2801e+03  1.4505e+11  2.0439e+00  1.2801e+03  1.8606e+07  3.5551e+00  1.2801e+03  6.9663e+04  -5.3560e-01 1.2801e+03  1.8675e+07  3.5470e+00  1.2806e+03  
34          9.8759e+09  2.4291e+12  3.8225e+00  1.2720e+03  1.3525e+11  2.1533e+00  1.2720e+03  1.9020e+07  3.7614e+00  1.2720e+03  7.6528e+04  -4.9188e-01 1.2720e+03  1.9096e+07  3.7514e+00  1.2725e+03  
35          9.8822e+09  2.3038e+12  4.0453e+00  1.2639e+03  1.2607e+11  2.2697e+00  1.2639e+03  1.9427e+07  3.9825e+00  1.2639e+03  8.4048e+04  -4.3504e-01 1.2639e+03  1.9511e+07  3.9706e+00  1.2644e+03  
36          9.8885e+09  2.1827e+12  4.2839e+00  1.2557e+03  1.1747e+11  2.3930e+00  1.2557e+03  1.9826e+07  4.2195e+00  1.2557e+03  9.2289e+04  -3.6391e-01 1.2557e+03  1.9918e+07  4.2053e+00  1.2562e+03  
37          9.8949e+09  2.0659e+12  4.5398e+00  1.2474e+03  1.0944e+11  2.5239e+00  1.2474e+03  2.0216e+07  4.4736e+00  1.2474e+03  1.0133e+05  -2.7657e-01 1.2474e+03  2.0317e+07  4.4570e+00  1.2479e+03  
38          9.9014e+09  1.9531e+12  4.8147e+00  1.2391e+03  1.0192e+11  2.6631e+00  1.2391e+03  2.0594e+07  4.7465e+00  1.2391e+03  1.1124e+05  -1.7105e-01 1.2391e+03  2.0706e+07  4.7271e+00  1.2396e+03  
39          9.9080e+09  1.8444e+12  5.1101e+00  1.2307e+03  9.4904e+10  2.8111e+00  1.2307e+03  2.0962e+07  5.0398e+00  1.2307e+03  1.2214e+05  -4.5169e-02 1.2307e+03  2.1084e+07  5.0174e+00  1.2312e+03  
40          9.9147e+09  1.7398e+12  5.4282e+00  1.2223e+03  8.8352e+10  2.9689e+00  1.2223e+03  2.1318e+07  5.3553e+00  1.2223e+03  1.3413e+05  1.0346e-01  1.2223e+03  2.1452e+07  5.3295e+00  1.2228e+03  
