I           X1          NDT_H       VX1_H       TMP_H       NDT_HE      VX1_HE      TMP_HE      NDT_H+      VX1_H+      TMP_H+      NDT_HE+     VX1_HE+     TMP_HE+     NDT_ELC     VX1_ELC     TMP_ELC     
25          9.7643e+09  6.1684e+12  1.2451e+00  1.5000e+03  3.6956e+11  7.1435e-01  1.5000e+03  9.1649e+06  1.2425e+00  1.5000e+03  9.7244e+03  3.3115e-02  1.5000e+03  9.1748e+06  1.2312e+00  1.5000e+03  
26          9.7665e+09  6.0586e+12  1.2701e+00  1.5000e+03  3.5845e+11  7.2561e-01  1.5000e+03  9.1032e+06  1.2682e+00  1.5000e+03  9.7301e+03  2.4647e-02  1.5000e+03  9.1131e+06  1.2569e+00  1.5000e+03  
27          9.7687e+09  5.9504e+12  1.2951e+00  1.5000e+03  3.4771e+11  7.3661e-01  1.5000e+03  9.0378e+06  1.2940e+00  1.5000e+03  9.7357e+03  1.5426e-02  1.5000e+03  9.0476e+06  1.2827e+00  1.5000e+03  
28          9.7709e+09  5.8436e+12  1.3219e+00  1.5000e+03  3.3733e+11  7.4887e-01  1.5000e+03  8.9695e+06  1.3212e+00  1.5000e+03  9.7412e+03  6.9579e-03  1.5000e+03  8.9794e+06  1.3098e+00  1.5000e+03  
29          9.7732e+09  5.7382e+12  1.3458e+00  1.5000e+03  3.2730e+11  7.5787e-01  1.5000e+03  8.8996e+06  1.3454e+00  1.5000e+03  9.7467e+03  -5.2722e-03 1.5000e+03  8.9095e+06  1.3329e+00  1.5000e+03  
30          9.7754e+09  5.6343e+12  1.3803e+00  1.5000e+03  3.1762e+11  7.7695e-01  1.5000e+03  8.8288e+06  1.3800e+00  1.5000e+03  9.7522e+03  -8.2946e-03 1.5000e+03  8.8386e+06  1.3762e+00  1.5000e+03  
31          9.7777e+09  5.5318e+12  1.3698e+00  1.5000e+03  3.0825e+11  7.5069e-01  1.5000e+03  8.7577e+06  1.3696e+00  1.5000e+03  9.7574e+03  -5.2190e-02 1.5000e+03  8.7676e+06  1.3250e+00  1.5000e+03  
32          9.7800e+09  5.4308e+12  1.7195e+00  1.5000e+03  2.9921e+11  1.0842e+00  1.5000e+03  8.6870e+06  1.7192e+00  1.5000e+03  9.7602e+03  2.6957e-01  1.5000e+03  8.6969e+06  1.7751e+00  1.5000e+03  
33          9.7823e+09  5.3311e+12  6.3146e-01  1.5000e+03  2.9047e+11  -2.0608e-02 1.5000e+03  8.6171e+06  6.3097e-01  1.5000e+03  9.7782e+03  -1.0540e+00 1.5000e+03  8.6270e+06  5.6934e-01  1.5001e+03  
34          9.7846e+09  5.2328e+12  2.3233e+00  1.5000e+03  2.8203e+11  1.6538e+00  1.5000e+03  8.5485e+06  2.3225e+00  1.5000e+03  9.7835e+03  9.6459e-01  1.5000e+03  8.5584e+06  2.3073e+00  1.5001e+03  
35          9.7869e+09  5.1359e+12  1.0097e+00  1.5000e+03  2.7387e+11  3.2253e-01  1.5000e+03  8.4814e+06  1.0085e+00  1.5000e+03  9.7762e+03  -5.9541e-01 1.5000e+03  8.4913e+06  9.7254e-01  1.5001e+03  
36          9.7892e+09  5.0403e+12  1.4774e+00  1.5000e+03  2.6599e+11  7.7199e-01  1.5000e+03  8.4159e+06  1.4759e+00  1.5000e+03  9.7841e+03  -1.5853e-01 1.5000e+03  8.4258e+06  1.4890e+00  1.5001e+03  
37          9.7915e+09  4.9461e+12  1.4317e+00  1.5000e+03  2.5838e+11  7.0747e-01  1.5000e+03  8.3523e+06  1.4297e+00  1.5000e+03  9.7897e+03  -2.4305e-01 1.5000e+03  8.3622e+06  1.4102e+00  1.5001e+03  
38          9.7939e+09  4.8533e+12  1.4790e+00  1.5000e+03  2.5103e+11  7.3544e-01  1.5000e+03  8.2907e+06  1.4765e+00  1.5000e+03  9.7948e+03  -2.4124e-01 1.5000e+03  8.3006e+06  1.4664e+00  1.5001e+03  
39          9.7963e+09  4.7617e+12  1.5044e+00  1.5000e+03  2.4392e+11  7.4099e-01  1.5000e+03  8.2311e+06  1.5014e+00  1.5000e+03  9.8001e+03  -2.6189e-01 1.5000e+03  8.2410e+06  1.4889e+00  1.5001e+03  
40          9.7986e+09  4.6715e+12  1.5368e+00  1.5000e+03  2.3706e+11  7.5291e-01  1.5000e+03  8.1735e+06  1.5332e+00  1.5000e+03  9.8052e+03  -2.7665e-01 1.5000e+03  8.1834e+06  1.5211e+00  1.5001e+03  
41          9.8010e+09  4.5825e+12  1.5684e+00  1.5000e+03  2.3043e+11  7.6342e-01  1.5000e+03  8.1179e+06  1.5642e+00  1.5000e+03  9.8104e+03  -2.9330e-01 1.5000e+03  8.1278e+06  1.5520e+00  1.5001e+03  
42          9.8034e+09  4.4948e+12  1.6011e+00  1.5000e+03  2.2402e+11  7.7453e-01  1.5000e+03  8.0643e+06  1.5963e+00  1.5000e+03  9.8155e+03  -3.0983e-01 1.5000e+03  8.0742e+06  1.5841e+00  1.5001e+03  
43          9.8058e+09  4.4085e+12  1.6345e+00  1.5000e+03  2.1783e+11  7.8566e-01  1.5000e+03  8.0127e+06  1.6291e+00  1.5000e+03  9.8207e+03  -3.2681e-01 1.5000e+03  8.0226e+06  1.6168e+00  1.5001e+03  
44          9.8083e+09  4.3233e+12  1.6687e+00  1.5000e+03  2.1185e+11  7.9700e-01  1.5000e+03  7.9629e+06  1.6627e+00  1.5000e+03  9.8258e+03  -3.4405e-01 1.5000e+03  7.9728e+06  1.6503e+00  1.5001e+03  
45          9.8107e+09  4.2394e+12  1.7037e+00  1.5000e+03  2.0607e+11  8.0851e-01  1.5000e+03  7.9150e+06  1.6971e+00  1.5000e+03  9.8309e+03  -3.6159e-01 1.5000e+03  7.9250e+06  1.6846e+00  1.5001e+03  
46          9.8132e+09  4.1568e+12  1.7396e+00  1.5000e+03  2.0049e+11  8.2021e-01  1.5000e+03  7.8689e+06  1.7323e+00  1.5000e+03  9.8359e+03  -3.7939e-01 1.5000e+03  7.8788e+06  1.7198e+00  1.5001e+03  
47          9.8156e+09  4.0754e+12  1.7763e+00  1.5000e+03  1.9509e+11  8.3211e-01  1.5000e+03  7.8245e+06  1.7684e+00  1.5000e+03  9.8410e+03  -3.9745e-01 1.5000e+03  7.8344e+06  1.7558e+00  1.5002e+03  
48          9.8181e+09  3.9951e+12  1.8139e+00  1.5000e+03  1.8987e+11  8.4421e-01  1.5000e+03  7.7818e+06  1.8054e+00  1.5000e+03  9.8461e+03  -4.1575e-01 1.5000e+03  7.7917e+06  1.7927e+00  1.5002e+03  
49          9.8206e+09  3.9161e+12  1.8525e+00  1.5000e+03  1.8483e+11  8.5654e-01  1.5000e+03  7.7406e+06  1.8432e+00  1.5000e+03  9.8511e+03  -4.3428e-01 1.5000e+03  7.7506e+06  1.8304e+00  1.5002e+03  
50          9.8231e+09  3.8383e+12  1.8920e+00  1.5000e+03  1.7995e+11  8.6909e-01  1.5000e+03  7.7011e+06  1.8820e+00  1.5000e+03  9.8562e+03  -4.5300e-01 1.5000e+03  7.7110e+06  1.8691e+00  1.5002e+03  
51          9.8256e+09  3.7616e+12  1.9324e+00  1.5000e+03  1.7524e+11  8.8189e-01  1.5000e+03  7.6630e+06  1.9218e+00  1.5000e+03  9.8612e+03  -4.7192e-01 1.5000e+03  7.6729e+06  1.9088e+00  1.5002e+03  
52          9.8282e+09  3.6862e+12  1.9738e+00  1.5000e+03  1.7068e+11  8.9494e-01  1.5000e+03  7.6264e+06  1.9625e+00  1.5000e+03  9.8662e+03  -4.9099e-01 1.5000e+03  7.6363e+06  1.9494e+00  1.5002e+03  
53          9.8307e+09  3.6118e+12  2.0163e+00  1.5000e+03  1.6627e+11  9.0827e-01  1.5000e+03  7.5913e+06  2.0042e+00  1.5000e+03  9.8713e+03  -5.1021e-01 1.5000e+03  7.6012e+06  1.9911e+00  1.5002e+03  
54          9.8333e+09  3.5386e+12  2.0598e+00  1.5000e+03  1.6201e+11  9.2188e-01  1.5000e+03  7.5576e+06  2.0470e+00  1.5000e+03  9.8763e+03  -5.2955e-01 1.5000e+03  7.5676e+06  2.0337e+00  1.5002e+03  
55          9.8359e+09  3.4666e+12  2.1044e+00  1.5000e+03  1.5788e+11  9.3579e-01  1.5000e+03  7.5254e+06  2.0908e+00  1.5000e+03  9.8814e+03  -5.4900e-01 1.5000e+03  7.5354e+06  2.0774e+00  1.5002e+03  
56          9.8384e+09  3.3956e+12  2.1501e+00  1.5000e+03  1.5389e+11  9.5002e-01  1.5000e+03  7.4948e+06  2.1357e+00  1.5000e+03  9.8864e+03  -5.6850e-01 1.5000e+03  7.5047e+06  2.1222e+00  1.5002e+03  
57          9.8410e+09  3.3258e+12  2.1970e+00  1.5000e+03  1.5003e+11  9.6456e-01  1.5000e+03  7.4656e+06  2.1816e+00  1.5000e+03  9.8915e+03  -5.8809e-01 1.5000e+03  7.4755e+06  2.1681e+00  1.5003e+03  
58          9.8437e+09  3.2570e+12  2.2451e+00  1.5000e+03  1.4629e+11  9.7953e-01  1.5000e+03  7.4381e+06  2.2288e+00  1.5000e+03  9.8965e+03  -6.0760e-01 1.5000e+03  7.4480e+06  2.2152e+00  1.5003e+03  
59          9.8463e+09  3.1894e+12  2.2941e+00  1.5000e+03  1.4267e+11  9.9456e-01  1.5000e+03  7.4122e+06  2.2768e+00  1.5000e+03  9.9016e+03  -6.2742e-01 1.5000e+03  7.4222e+06  2.2631e+00  1.5003e+03  
60          9.8489e+09  3.1228e+12  2.3456e+00  1.5000e+03  1.3916e+11  1.0111e+00  1.5000e+03  7.3882e+06  2.3271e+00  1.5000e+03  9.9067e+03  -6.4607e-01 1.5000e+03  7.3981e+06  2.3134e+00  1.5003e+03  
61          9.8516e+09  3.0573e+12  2.3941e+00  1.5000e+03  1.3577e+11  1.0238e+00  1.5000e+03  7.3661e+06  2.3744e+00  1.5000e+03  9.9118e+03  -6.6884e-01 1.5000e+03  7.3761e+06  2.3597e+00  1.5003e+03  
62          9.8543e+09  2.9928e+12  2.4581e+00  1.5000e+03  1.3248e+11  1.0512e+00  1.5000e+03  7.3462e+06  2.4371e+00  1.5000e+03  9.9170e+03  -6.7751e-01 1.5000e+03  7.3562e+06  2.4279e+00  1.5003e+03  
63          9.8570e+09  2.9294e+12  2.4622e+00  1.5000e+03  1.2929e+11  1.0176e+00  1.5000e+03  7.3287e+06  2.4396e+00  1.5000e+03  9.9221e+03  -7.4508e-01 1.5000e+03  7.3386e+06  2.4037e+00  1.5003e+03  
64          9.8597e+09  2.8670e+12  2.8520e+00  1.5000e+03  1.2620e+11  1.3689e+00  1.5000e+03  7.3138e+06  2.8278e+00  1.5000e+03  9.9266e+03  -4.2360e-01 1.5000e+03  7.3237e+06  2.8617e+00  1.5004e+03  
65          9.8624e+09  2.8056e+12  1.8294e+00  1.5000e+03  1.2320e+11  3.0692e-01  1.5000e+03  7.3018e+06  1.8034e+00  1.5000e+03  9.9349e+03  -1.6253e+00 1.5000e+03  7.3117e+06  1.7497e+00  1.5004e+03  
66          9.8651e+09  2.7452e+12  3.4864e+00  1.5000e+03  1.2030e+11  1.9231e+00  1.5000e+03  7.2930e+06  3.4582e+00  1.5000e+03  9.9402e+03  1.5027e-01  1.5000e+03  7.3030e+06  3.4386e+00  1.5004e+03  
67          9.8679e+09  2.6859e+12  2.2519e+00  1.5000e+03  1.1748e+11  6.4718e-01  1.5000e+03  7.2880e+06  2.2214e+00  1.5000e+03  9.9423e+03  -1.2744e+00 1.5000e+03  7.2980e+06  2.1913e+00  1.5004e+03  
68          9.8706e+09  2.6275e+12  2.7529e+00  1.5000e+03  1.1474e+11  1.1056e+00  1.5000e+03  7.2870e+06  2.7197e+00  1.5000e+03  9.9483e+03  -8.4546e-01 1.5000e+03  7.2970e+06  2.7213e+00  1.5004e+03  
69          9.8734e+09  2.5701e+12  2.7311e+00  1.5000e+03  1.1208e+11  1.0401e+00  1.5000e+03  7.2905e+06  2.6950e+00  1.5000e+03  9.9537e+03  -9.4576e-01 1.5000e+03  7.3005e+06  2.6756e+00  1.5004e+03  
70          9.8762e+09  2.5137e+12  2.8140e+00  1.5000e+03  1.0950e+11  1.0783e+00  1.5000e+03  7.2991e+06  2.7747e+00  1.5000e+03  9.9591e+03  -9.4515e-01 1.5000e+03  7.3091e+06  2.7610e+00  1.5004e+03  
71          9.8790e+09  2.4582e+12  2.8728e+00  1.5000e+03  1.0700e+11  1.0912e+00  1.5000e+03  7.3133e+06  2.8298e+00  1.5000e+03  9.9645e+03  -9.6964e-01 1.5000e+03  7.3232e+06  2.8145e+00  1.5004e+03  
72          9.8818e+09  2.4037e+12  2.9405e+00  1.5000e+03  1.0456e+11  1.1119e+00  1.5000e+03  7.3335e+06  2.8935e+00  1.5000e+03  9.9700e+03  -9.8620e-01 1.5000e+03  7.3435e+06  2.8786e+00  1.5005e+03  
73          9.8847e+09  2.3501e+12  3.0081e+00  1.5000e+03  1.0219e+11  1.1314e+00  1.5000e+03  7.3605e+06  2.9569e+00  1.5000e+03  9.9755e+03  -1.0043e+00 1.5000e+03  7.3705e+06  2.9417e+00  1.5005e+03  
74          9.8875e+09  2.2974e+12  3.0781e+00  1.5000e+03  9.9891e+10  1.1520e+00  1.5000e+03  7.3946e+06  3.0221e+00  1.5000e+03  9.9811e+03  -1.0171e+00 1.5000e+03  7.4046e+06  3.0069e+00  1.5005e+03  
75          9.8904e+09  2.2457e+12  3.1499e+00  1.5000e+03  9.7652e+10  1.1732e+00  1.5000e+03  7.4364e+06  3.0889e+00  1.5000e+03  9.9843e+03  -9.7602e-01 1.5000e+03  7.4464e+06  3.0737e+00  1.5005e+03  
76          9.8933e+09  2.1948e+12  3.2236e+00  1.5000e+03  9.5473e+10  1.1950e+00  1.5000e+03  7.4863e+06  3.1573e+00  1.5000e+03  9.9929e+03  -1.3083e+00 1.5000e+03  7.4963e+06  3.1416e+00  1.5005e+03  
77          9.8962e+09  2.1448e+12  3.2993e+00  1.5000e+03  9.3351e+10  1.2176e+00  1.5000e+03  7.5446e+06  3.2275e+00  1.5000e+03  1.0118e+04  -2.3711e+00 1.5000e+03  7.5547e+06  3.2103e+00  1.5005e+03  
78          9.8991e+09  2.0958e+12  3.3772e+00  1.5000e+03  9.1286e+10  1.2410e+00  1.5000e+03  7.6115e+06  3.2997e+00  1.5000e+03  1.0446e+04  -3.5306e+00 1.5000e+03  7.6219e+06  3.2806e+00  1.5005e+03  
79          9.9020e+09  2.0476e+12  3.4572e+00  1.5000e+03  8.9273e+10  1.2651e+00  1.5000e+03  7.6868e+06  3.3740e+00  1.5000e+03  1.0941e+04  -4.2554e+00 1.5000e+03  7.6978e+06  3.3535e+00  1.5005e+03  
80          9.9049e+09  2.0003e+12  3.5394e+00  1.5000e+03  8.7312e+10  1.2900e+00  1.5000e+03  7.7705e+06  3.4507e+00  1.5000e+03  1.1546e+04  -4.5991e+00 1.5000e+03  7.7820e+06  3.4290e+00  1.5005e+03  
81          9.9079e+09  1.9538e+12  3.6239e+00  1.5000e+03  8.5400e+10  1.3158e+00  1.5000e+03  7.8620e+06  3.5298e+00  1.5000e+03  1.2216e+04  -4.7252e+00 1.5000e+03  7.8743e+06  3.5073e+00  1.5005e+03  
82          9.9109e+09  1.9082e+12  3.7107e+00  1.5000e+03  8.3535e+10  1.3425e+00  1.5000e+03  7.9611e+06  3.6116e+00  1.5000e+03  1.2929e+04  -4.7632e+00 1.5000e+03  7.9740e+06  3.5883e+00  1.5005e+03  
83          9.9139e+09  1.8634e+12  3.8000e+00  1.5000e+03  8.1716e+10  1.3701e+00  1.5000e+03  8.0670e+06  3.6960e+00  1.5000e+03  1.3679e+04  -4.7821e+00 1.5000e+03  8.0807e+06  3.6719e+00  1.5005e+03  
84          9.9169e+09  1.8194e+12  3.8919e+00  1.5000e+03  7.9941e+10  1.3987e+00  1.5000e+03  8.1793e+06  3.7832e+00  1.5000e+03  1.4467e+04  -4.8077e+00 1.5000e+03  8.1938e+06  3.7583e+00  1.5005e+03  
85          9.9199e+09  1.7762e+12  3.9863e+00  1.5000e+03  7.8207e+10  1.4283e+00  1.5000e+03  8.2974e+06  3.8733e+00  1.5000e+03  1.5298e+04  -4.8441e+00 1.5000e+03  8.3127e+06  3.8476e+00  1.5005e+03  
86          9.9229e+09  1.7339e+12  4.0834e+00  1.5000e+03  7.6514e+10  1.4589e+00  1.5000e+03  8.4206e+06  3.9664e+00  1.5000e+03  1.6176e+04  -4.8874e+00 1.5000e+03  8.4368e+06  3.9397e+00  1.5005e+03  
