I           X1          NDT_H       VX1_H       TMP_H       NDT_HE      VX1_HE      TMP_HE      NDT_H+      VX1_H+      TMP_H+      NDT_HE+     VX1_HE+     TMP_HE+     NDT_ELC     VX1_ELC     TMP_ELC     
25          9.8238e+09  3.7992e+12  1.7308e+00  1.3421e+03  3.2612e+11  5.0411e-01  1.3421e+03  1.2199e+07  1.6783e+00  1.3421e+03  2.2477e+04  -8.2933e-01 1.3421e+03  1.2222e+07  2.6156e+00  1.3425e+03  
26          9.8293e+09  3.6169e+12  9.5429e-01  1.3346e+03  3.1272e+11  -2.3024e-01 1.3346e+03  1.2590e+07  8.9914e-01  1.3346e+03  2.5306e+04  -1.4393e+00 1.3346e+03  1.2615e+07  1.8472e+00  1.3349e+03  
27          9.8348e+09  3.4395e+12  2.4198e+00  1.3270e+03  2.9991e+11  1.0425e+00  1.3270e+03  1.2999e+07  2.3619e+00  1.3270e+03  2.8570e+04  -5.5695e-01 1.3270e+03  1.3028e+07  3.3186e+00  1.3273e+03  
28          9.8404e+09  3.2669e+12  1.3128e+00  1.3193e+03  2.8765e+11  -9.7552e-02 1.3193e+03  1.3427e+07  1.2519e+00  1.3193e+03  3.2341e+04  -1.3907e+00 1.3193e+03  1.3460e+07  2.1728e+00  1.3197e+03  
29          9.8461e+09  3.0992e+12  1.8227e+00  1.3116e+03  2.7585e+11  2.7652e-01  1.3116e+03  1.3874e+07  1.7587e+00  1.3116e+03  3.6702e+04  -1.1486e+00 1.3116e+03  1.3911e+07  2.6945e+00  1.3119e+03  
30          9.8519e+09  2.9365e+12  1.8541e+00  1.3038e+03  2.6447e+11  2.1547e-01  1.3038e+03  1.4341e+07  1.7870e+00  1.3038e+03  4.1750e+04  -1.2272e+00 1.3038e+03  1.4383e+07  2.7180e+00  1.3041e+03  
31          9.8578e+09  2.7787e+12  1.9834e+00  1.2960e+03  2.5347e+11  2.4617e-01  1.2960e+03  1.4826e+07  1.9129e+00  1.2960e+03  4.7595e+04  -1.2424e+00 1.2960e+03  1.4874e+07  2.8421e+00  1.2963e+03  
32          9.8638e+09  2.6260e+12  2.1044e+00  1.2880e+03  2.4280e+11  2.6205e-01  1.2880e+03  1.5329e+07  2.0305e+00  1.2880e+03  5.4367e+04  -1.2650e+00 1.2880e+03  1.5383e+07  2.9573e+00  1.2883e+03  
33          9.8698e+09  2.4783e+12  2.2446e+00  1.2800e+03  2.3242e+11  2.8976e-01  1.2800e+03  1.5849e+07  2.1671e+00  1.2800e+03  6.2213e+04  -1.2769e+00 1.2800e+03  1.5911e+07  3.0913e+00  1.2803e+03  
34          9.8759e+09  2.3357e+12  2.3994e+00  1.2720e+03  2.2230e+11  3.2403e-01  1.2720e+03  1.6383e+07  2.3183e+00  1.2720e+03  7.1304e+04  -1.2810e+00 1.2720e+03  1.6454e+07  3.2396e+00  1.2723e+03  
35          9.8822e+09  2.1981e+12  2.5723e+00  1.2639e+03  2.1243e+11  3.6750e-01  1.2639e+03  1.6930e+07  2.4875e+00  1.2639e+03  8.1837e+04  -1.2753e+00 1.2639e+03  1.7012e+07  3.4055e+00  1.2641e+03  
36          9.8885e+09  2.0657e+12  2.7650e+00  1.2557e+03  2.0277e+11  4.2087e-01  1.2557e+03  1.7488e+07  2.6765e+00  1.2557e+03  9.4036e+04  -1.2588e+00 1.2557e+03  1.7582e+07  3.5906e+00  1.2559e+03  
37          9.8949e+09  1.9383e+12  2.9799e+00  1.2474e+03  1.9331e+11  4.8539e-01  1.2474e+03  1.8053e+07  2.8874e+00  1.2474e+03  1.0816e+05  -1.2301e+00 1.2474e+03  1.8161e+07  3.7973e+00  1.2477e+03  
38          9.9014e+09  1.8160e+12  3.2193e+00  1.2391e+03  1.8404e+11  5.6227e-01  1.2391e+03  1.8622e+07  3.1229e+00  1.2391e+03  1.2450e+05  -1.1877e+00 1.2391e+03  1.8746e+07  4.0277e+00  1.2394e+03  
39          9.9080e+09  1.6987e+12  3.4859e+00  1.2307e+03  1.7496e+11  6.5282e-01  1.2307e+03  1.9192e+07  3.3854e+00  1.2307e+03  1.4339e+05  -1.1301e+00 1.2307e+03  1.9335e+07  4.2845e+00  1.2310e+03  
40          9.9147e+09  1.5865e+12  3.7828e+00  1.2223e+03  1.6606e+11  7.5843e-01  1.2223e+03  1.9761e+07  3.6778e+00  1.2223e+03  1.6522e+05  -1.0556e+00 1.2223e+03  1.9926e+07  4.5702e+00  1.2225e+03  
41          9.9215e+09  1.4792e+12  4.1131e+00  1.2138e+03  1.5734e+11  8.8054e-01  1.2138e+03  2.0325e+07  4.0033e+00  1.2138e+03  1.9042e+05  -9.6223e-01 1.2138e+03  2.0515e+07  4.8877e+00  1.2140e+03  
42          9.9284e+09  1.3768e+12  4.4804e+00  1.2052e+03  1.4879e+11  1.0207e+00  1.2052e+03  2.0884e+07  4.3652e+00  1.2052e+03  2.1952e+05  -8.4777e-01 1.2052e+03  2.1103e+07  5.2401e+00  1.2054e+03  
43          9.9353e+09  1.2794e+12  4.8884e+00  1.1965e+03  1.4044e+11  1.1804e+00  1.1965e+03  2.1437e+07  4.7670e+00  1.1965e+03  2.5308e+05  -7.0953e-01 1.1965e+03  2.1690e+07  5.6306e+00  1.1968e+03  
44          9.9424e+09  1.1867e+12  5.3415e+00  1.1878e+03  1.3227e+11  1.3615e+00  1.1878e+03  2.1987e+07  5.2125e+00  1.1878e+03  2.9177e+05  -5.4426e-01 1.1878e+03  2.2279e+07  6.0625e+00  1.1881e+03  
45          9.9496e+09  1.0988e+12  5.8442e+00  1.1791e+03  1.2431e+11  1.5655e+00  1.1791e+03  2.2540e+07  5.7056e+00  1.1791e+03  3.3636e+05  -3.4821e-01 1.1791e+03  2.2876e+07  6.5395e+00  1.1793e+03  
46          9.9569e+09  1.0155e+12  6.4020e+00  1.1702e+03  1.1656e+11  1.7947e+00  1.1702e+03  2.3106e+07  6.2511e+00  1.1702e+03  3.8769e+05  -1.1679e-01 1.1702e+03  2.3494e+07  7.0656e+00  1.1705e+03  
47          9.9643e+09  9.3678e+11  7.0180e+00  1.1614e+03  1.0903e+11  2.0482e+00  1.1614e+03  2.3700e+07  6.8508e+00  1.1614e+03  4.4680e+05  2.2882e-01  1.1614e+03  2.4147e+07  7.6453e+00  1.1616e+03  
48          9.9719e+09  8.6251e+11  7.7130e+00  1.1524e+03  1.0173e+11  2.3427e+00  1.1524e+03  2.4343e+07  7.5243e+00  1.1524e+03  5.1497e+05  7.0940e-01  1.1524e+03  2.4858e+07  8.2990e+00  1.1526e+03  
49          9.9795e+09  7.9258e+11  8.4045e+00  1.1434e+03  9.4668e+10  2.5907e+00  1.1434e+03  2.5063e+07  8.1875e+00  1.1434e+03  5.9408e+05  1.1796e+00  1.1434e+03  2.5657e+07  8.9390e+00  1.1436e+03  
50          9.9872e+09  7.2688e+11  9.5999e+00  1.1343e+03  8.7859e+10  3.2939e+00  1.1343e+03  2.5895e+07  9.3460e+00  1.1343e+03  6.8712e+05  2.1381e+00  1.1343e+03  2.6582e+07  1.0070e+01  1.1345e+03  
51          9.9951e+09  6.6528e+11  9.5043e+00  1.1252e+03  8.1310e+10  2.6514e+00  1.1252e+03  2.6878e+07  9.2032e+00  1.1252e+03  7.9919e+05  1.7795e+00  1.1252e+03  2.7677e+07  9.9104e+00  1.1254e+03  
52          1.0003e+10  6.0765e+11  1.2243e+01  1.1160e+03  7.5031e+10  4.7798e+00  1.1160e+03  2.8055e+07  1.1882e+01  1.1160e+03  9.3896e+05  4.2211e+00  1.1160e+03  2.8994e+07  1.2557e+01  1.1162e+03  
53          1.0011e+10  5.5385e+11  1.1843e+01  1.1068e+03  6.9030e+10  3.6991e+00  1.1068e+03  2.9468e+07  1.1410e+01  1.1068e+03  1.1205e+06  3.4979e+00  1.1068e+03  3.0589e+07  1.2023e+01  1.1069e+03  
54          1.0019e+10  5.0375e+11  1.3714e+01  1.0975e+03  6.3311e+10  4.8086e+00  1.0975e+03  3.1153e+07  1.3194e+01  1.0975e+03  1.3651e+06  5.0489e+00  1.0975e+03  3.2518e+07  1.3760e+01  1.0976e+03  
55          1.0028e+10  4.5719e+11  1.4950e+01  1.0881e+03  5.7880e+10  5.1901e+00  1.0881e+03  3.3130e+07  1.4327e+01  1.0881e+03  1.7032e+06  6.0198e+00  1.0881e+03  3.4833e+07  1.4826e+01  1.0883e+03  
56          1.0036e+10  4.1403e+11  1.6506e+01  1.0787e+03  5.2740e+10  5.7872e+00  1.0787e+03  3.5403e+07  1.5763e+01  1.0787e+03  2.1748e+06  7.4232e+00  1.0787e+03  3.7578e+07  1.6185e+01  1.0788e+03  
57          1.0045e+10  3.7412e+11  1.8186e+01  1.0692e+03  4.7894e+10  6.3865e+00  1.0692e+03  3.7948e+07  1.7304e+01  1.0692e+03  2.8278e+06  9.0933e+00  1.0692e+03  4.0776e+07  1.7637e+01  1.0694e+03  
58          1.0053e+10  3.3730e+11  2.0053e+01  1.0597e+03  4.3340e+10  7.0351e+00  1.0597e+03  4.0714e+07  1.9009e+01  1.0597e+03  3.7148e+06  1.1088e+01  1.0597e+03  4.4429e+07  1.9248e+01  1.0598e+03  
59          1.0062e+10  3.0342e+11  2.2117e+01  1.0502e+03  3.9079e+10  7.7218e+00  1.0502e+03  4.3622e+07  2.0884e+01  1.0502e+03  4.8873e+06  1.3377e+01  1.0502e+03  4.8510e+07  2.1028e+01  1.0503e+03  
60          1.0071e+10  2.7231e+11  2.4405e+01  1.0405e+03  3.5106e+10  8.4485e+00  1.0405e+03  4.6572e+07  2.2949e+01  1.0405e+03  6.3880e+06  1.5928e+01  1.0405e+03  5.2960e+07  2.3001e+01  1.0406e+03  
61          1.0080e+10  2.4383e+11  2.6939e+01  1.0309e+03  3.1418e+10  9.2105e+00  1.0309e+03  4.9450e+07  2.5219e+01  1.0309e+03  8.2439e+06  1.8710e+01  1.0309e+03  5.7694e+07  2.5186e+01  1.0310e+03  
62          1.0089e+10  2.1782e+11  2.9768e+01  1.0211e+03  2.8009e+10  1.0021e+01  1.0211e+03  5.2141e+07  2.7732e+01  1.0211e+03  1.0460e+07  2.1723e+01  1.0211e+03  6.2602e+07  2.7624e+01  1.0213e+03  
63          1.0099e+10  1.9412e+11  3.2848e+01  1.0114e+03  2.4871e+10  1.0796e+01  1.0114e+03  5.4546e+07  3.0433e+01  1.0114e+03  1.3018e+07  2.4888e+01  1.0114e+03  6.7563e+07  3.0259e+01  1.0115e+03  
64          1.0108e+10  1.7259e+11  3.6970e+01  1.0016e+03  2.1998e+10  1.2277e+01  1.0016e+03  5.6587e+07  3.4097e+01  1.0016e+03  1.5874e+07  2.8969e+01  1.0016e+03  7.2461e+07  3.3866e+01  1.0017e+03  
65          1.0118e+10  1.5308e+11  3.7692e+01  9.9169e+02  1.9378e+10  9.9617e+00  9.9169e+02  5.8223e+07  3.4265e+01  9.9170e+02  1.8968e+07  2.9503e+01  9.9170e+02  7.7191e+07  3.3986e+01  9.9180e+02  
66          1.0128e+10  1.3544e+11  6.2651e+01  9.8177e+02  1.7006e+10  3.1400e+01  9.8177e+02  5.9455e+07  5.8550e+01  9.8178e+02  2.2225e+07  5.4106e+01  9.8178e+02  8.1680e+07  5.8231e+01  9.8188e+02  
67          1.0137e+10  1.1952e+11  8.7909e+01  9.7184e+02  1.4865e+10  5.2642e+01  9.7184e+02  6.0309e+07  8.2990e+01  9.7185e+02  2.5554e+07  7.8828e+01  9.7185e+02  8.5863e+07  8.2638e+01  9.7196e+02  
68          1.0147e+10  1.0505e+11  6.5543e+01  9.6357e+02  1.2910e+10  2.5776e+01  9.6357e+02  6.0802e+07  5.9630e+01  9.6358e+02  2.8821e+07  5.5711e+01  9.6359e+02  8.9623e+07  5.9257e+01  9.6369e+02  
69          1.0158e+10  9.1774e+10  3.9550e+01  9.5928e+02  1.1104e+10  -3.4962e+00 9.5928e+02  6.0970e+07  3.2427e+01  9.5930e+02  3.1872e+07  2.8701e+01  9.5930e+02  9.2842e+07  3.1893e+01  9.5941e+02  
70          1.0168e+10  7.9597e+10  2.9393e+01  9.6114e+02  9.4405e+09  -1.3987e+01 9.6114e+02  6.0892e+07  2.0812e+01  9.6116e+02  3.4574e+07  1.7229e+01  9.6116e+02  9.5466e+07  1.9867e+01  9.6127e+02  
71          1.0178e+10  6.8487e+10  2.3888e+01  9.7113e+02  7.9234e+09  -2.2005e+01 9.7113e+02  6.0665e+07  1.3562e+01  9.7115e+02  3.6807e+07  1.0060e+01  9.7115e+02  9.7472e+07  1.2300e+01  9.7126e+02  
72          1.0189e+10  5.8444e+10  3.0294e+01  9.9109e+02  6.5574e+09  -2.2907e+01 9.9109e+02  6.0372e+07  1.7913e+01  9.9111e+02  3.8464e+07  1.4429e+01  9.9112e+02  9.8836e+07  1.6607e+01  9.9122e+02  
73          1.0200e+10  4.9481e+10  4.9768e+01  1.0229e+03  5.3465e+09  -1.6018e+01 1.0229e+03  6.0077e+07  3.5025e+01  1.0229e+03  3.9461e+07  3.1495e+01  1.0229e+03  9.9538e+07  3.3948e+01  1.0230e+03  
74          1.0211e+10  4.1596e+10  7.8429e+01  1.0684e+03  4.2929e+09  -3.8740e+00 1.0684e+03  5.9815e+07  6.1047e+01  1.0684e+03  3.9747e+07  5.7414e+01  1.0684e+03  9.9562e+07  6.0338e+01  1.0685e+03  
75          1.0222e+10  3.4765e+10  1.2706e+02  1.1297e+03  3.3963e+09  3.2141e+01  1.1297e+03  5.9596e+07  1.0686e+02  1.1298e+03  3.9324e+07  1.0308e+02  1.1298e+03  9.8920e+07  1.0622e+02  1.1299e+03  
76          1.0233e+10  2.8934e+10  1.8105e+02  1.2092e+03  2.6513e+09  7.5539e+01  1.2092e+03  5.9411e+07  1.5786e+02  1.2092e+03  3.8242e+07  1.5389e+02  1.2092e+03  9.7653e+07  1.5718e+02  1.2093e+03  
