I           X1          NDT_H       VX1_H       TMP_H       NDT_HE      VX1_HE      TMP_HE      NDT_H+      VX1_H+      TMP_H+      NDT_HE+     VX1_HE+     TMP_HE+     NDT_ELC     VX1_ELC     TMP_ELC     
25          9.8238e+09  3.8576e+12  3.0407e+00  7.9889e-01  9.4671e+10  3.1824e+00  1.9606e-02  1.7191e+07  3.0147e+00  3.5602e-06  2.2448e+04  2.0409e+00  4.6488e-09  1.7213e+07  3.0436e+00  3.5656e-06  
26          9.8293e+09  3.7111e+12  2.6904e+00  7.6855e-01  7.9574e+10  2.9418e+00  1.6479e-02  1.7234e+07  2.6648e+00  3.5691e-06  2.1445e+04  2.0849e+00  4.4411e-09  1.7256e+07  2.6203e+00  3.5743e-06  
27          9.8348e+09  3.5689e+12  4.0129e+00  7.3909e-01  6.6047e+10  4.3935e+00  1.3678e-02  1.7259e+07  3.9875e+00  3.5742e-06  2.0162e+04  3.9480e+00  4.1756e-09  1.7279e+07  3.9498e+00  3.5791e-06  
28          9.8404e+09  3.4307e+12  3.0489e+00  7.1047e-01  5.4066e+10  3.5780e+00  1.1197e-02  1.7271e+07  3.0233e+00  3.5767e-06  1.8635e+04  3.7039e+00  3.8593e-09  1.7290e+07  3.0459e+00  3.5813e-06  
29          9.8461e+09  3.2963e+12  3.6735e+00  6.8264e-01  4.3608e+10  4.3657e+00  9.0311e-03  1.7276e+07  3.6471e+00  3.5778e-06  1.6917e+04  5.2400e+00  3.5034e-09  1.7293e+07  3.6514e+00  3.5821e-06  
30          9.8519e+09  3.1655e+12  3.7933e+00  6.5556e-01  3.4655e+10  4.6488e+00  7.1768e-03  1.7281e+07  3.7657e+00  3.5788e-06  1.5087e+04  6.4067e+00  3.1244e-09  1.7296e+07  3.7712e+00  3.5827e-06  
31          9.8578e+09  3.0381e+12  4.0312e+00  6.2918e-01  2.7187e+10  5.0136e+00  5.6302e-03  1.7291e+07  4.0019e+00  3.5809e-06  1.3253e+04  7.5841e+00  2.7446e-09  1.7304e+07  4.0079e+00  3.5843e-06  
32          9.8638e+09  2.9140e+12  4.2347e+00  6.0347e-01  2.1189e+10  5.2294e+00  4.3881e-03  1.7311e+07  4.2033e+00  3.5850e-06  1.1561e+04  7.9990e+00  2.3943e-09  1.7322e+07  4.2093e+00  3.5881e-06  
33          9.8698e+09  2.7928e+12  4.2999e+00  5.7837e-01  1.6647e+10  5.0449e+00  3.4475e-03  1.7345e+07  4.2658e+00  3.5921e-06  1.0192e+04  6.4555e+00  2.1106e-09  1.7355e+07  4.2706e+00  3.5949e-06  
34          9.8759e+09  2.6743e+12  3.6874e+00  5.5384e-01  1.3549e+10  3.7096e+00  2.8059e-03  1.7396e+07  3.6504e+00  3.6026e-06  9.3335e+03  1.4907e+00  1.9329e-09  1.7405e+07  3.6519e+00  3.6053e-06  
35          9.8822e+09  2.5584e+12  -3.5672e+00 5.2984e-01  1.1884e+10  -4.7837e+00 2.4612e-03  1.7465e+07  -3.6074e+00 3.6169e-06  9.1181e+03  -1.1866e+01 1.8883e-09  1.7474e+07  -3.6081e+00 3.6195e-06  
36          9.8885e+09  2.4452e+12  -6.0686e+00 5.0638e-01  1.1290e+10  -8.2779e+00 2.3381e-03  1.7553e+07  -6.1122e+00 3.6352e-06  9.5257e+03  -1.9273e+01 1.9727e-09  1.7563e+07  -6.1156e+00 3.6378e-06  
37          9.8949e+09  2.3351e+12  1.5634e+00  4.8359e-01  1.1141e+10  -9.7520e-01 2.3073e-03  1.7662e+07  1.5160e+00  3.6577e-06  1.0397e+04  -1.3973e+01 2.1533e-09  1.7673e+07  1.5094e+00  3.6606e-06  
38          9.9014e+09  2.2284e+12  1.8666e+00  4.6150e-01  1.1103e+10  -8.7380e-01 2.2995e-03  1.7792e+07  1.8154e+00  3.6845e-06  1.1564e+04  -1.4316e+01 2.3948e-09  1.7803e+07  1.8082e+00  3.6876e-06  
39          9.9080e+09  2.1252e+12  3.1222e+00  4.4012e-01  1.1093e+10  2.3551e-01  2.2973e-03  1.7939e+07  3.0673e+00  3.7150e-06  1.2928e+04  -1.3037e+01 2.6773e-09  1.7952e+07  3.0594e+00  3.7184e-06  
40          9.9147e+09  2.0254e+12  3.4463e+00  4.1946e-01  1.1093e+10  4.0921e-01  2.2974e-03  1.8100e+07  3.3878e+00  3.7485e-06  1.4466e+04  -1.2558e+01 2.9959e-09  1.8115e+07  3.3784e+00  3.7522e-06  
41          9.9215e+09  1.9290e+12  3.6729e+00  3.9948e-01  1.1104e+10  4.6844e-01  2.2995e-03  1.8274e+07  3.6109e+00  3.7845e-06  1.6197e+04  -1.2209e+01 3.3544e-09  1.8290e+07  3.6002e+00  3.7885e-06  
42          9.9284e+09  1.8358e+12  3.7860e+00  3.8019e-01  1.1130e+10  4.0140e-01  2.3050e-03  1.8456e+07  3.7205e+00  3.8222e-06  1.8158e+04  -1.2008e+01 3.7604e-09  1.8475e+07  3.7082e+00  3.8267e-06  
43          9.9353e+09  1.7459e+12  4.0618e+00  3.6157e-01  1.1168e+10  4.9311e-01  2.3129e-03  1.8645e+07  3.9929e+00  3.8614e-06  2.0388e+04  -1.1645e+01 4.2222e-09  1.8666e+07  3.9790e+00  3.8663e-06  
44          9.9424e+09  1.6592e+12  4.3255e+00  3.4361e-01  1.1214e+10  5.6722e-01  2.3224e-03  1.8839e+07  4.2532e+00  3.9014e-06  2.2925e+04  -1.1280e+01 4.7477e-09  1.8862e+07  4.2375e+00  3.9069e-06  
45          9.9496e+09  1.5756e+12  4.6130e+00  3.2629e-01  1.1264e+10  6.5871e-01  2.3327e-03  1.9036e+07  4.5371e+00  3.9422e-06  2.5811e+04  -1.0875e+01 5.3454e-09  1.9061e+07  4.5195e+00  3.9482e-06  
46          9.9569e+09  1.4950e+12  4.9181e+00  3.0962e-01  1.1315e+10  7.6053e-01  2.3432e-03  1.9235e+07  4.8384e+00  3.9835e-06  2.9090e+04  -1.0439e+01 6.0245e-09  1.9264e+07  4.8186e+00  3.9903e-06  
47          9.9643e+09  1.4175e+12  5.2411e+00  2.9357e-01  1.1363e+10  8.7193e-01  2.3532e-03  1.9438e+07  5.1573e+00  4.0254e-06  3.2812e+04  -9.9782e+00 6.7953e-09  1.9470e+07  5.1350e+00  4.0330e-06  
48          9.9719e+09  1.3430e+12  5.5940e+00  2.7813e-01  1.1405e+10  1.0037e+00  2.3620e-03  1.9644e+07  5.5056e+00  4.0682e-06  3.7035e+04  -9.4856e+00 7.6697e-09  1.9681e+07  5.4809e+00  4.0766e-06  
49          9.9795e+09  1.2713e+12  5.9174e+00  2.6329e-01  1.1440e+10  1.0953e+00  2.3691e-03  1.9856e+07  5.8238e+00  4.1120e-06  4.1825e+04  -9.0267e+00 8.6617e-09  1.9898e+07  5.7937e+00  4.1214e-06  
50          9.9872e+09  1.2025e+12  6.5568e+00  2.4904e-01  1.1464e+10  1.4913e+00  2.3741e-03  2.0076e+07  6.4573e+00  4.1576e-06  4.7262e+04  -8.2620e+00 9.7878e-09  2.0123e+07  6.4416e+00  4.1681e-06  
51          9.9951e+09  1.1365e+12  6.5334e+00  2.3536e-01  1.1476e+10  1.2075e+00  2.3767e-03  2.0307e+07  6.4272e+00  4.2055e-06  5.3447e+04  -8.1764e+00 1.1069e-08  2.0361e+07  6.3605e+00  4.2173e-06  
52          1.0003e+10  1.0732e+12  7.9784e+00  2.2225e-01  1.1478e+10  2.3705e+00  2.3770e-03  2.0555e+07  7.8642e+00  4.2568e-06  6.0501e+04  -6.6414e+00 1.2530e-08  2.0615e+07  7.7966e+00  4.2700e-06  
53          1.0011e+10  1.0125e+12  7.2978e+00  2.0969e-01  1.1469e+10  1.3900e+00  2.3751e-03  2.0824e+07  7.1742e+00  4.3125e-06  6.8575e+04  -7.2461e+00 1.4202e-08  2.0892e+07  7.1418e+00  4.3274e-06  
54          1.0019e+10  9.5444e+11  8.2118e+00  1.9766e-01  1.1447e+10  1.9869e+00  2.3706e-03  2.1121e+07  8.0771e+00  4.3741e-06  7.7852e+04  -6.2695e+00 1.6123e-08  2.1199e+07  8.0272e+00  4.3909e-06  
55          1.0028e+10  8.9888e+11  8.6537e+00  1.8615e-01  1.1412e+10  2.0922e+00  2.3633e-03  2.1455e+07  8.5060e+00  4.4431e-06  8.8559e+04  -5.7777e+00 1.8340e-08  2.1543e+07  8.4503e+00  4.4622e-06  
56          1.0036e+10  8.4578e+11  9.2446e+00  1.7516e-01  1.1361e+10  2.3248e+00  2.3528e-03  2.1833e+07  9.0815e+00  4.5214e-06  1.0099e+05  -5.1501e+00 2.0914e-08  2.1934e+07  9.0191e+00  4.5431e-06  
