I           X1          NDT_H       VX1_H       TMP_H       NDT_HE      VX1_HE      TMP_HE      NDT_H+      VX1_H+      TMP_H+      NDT_HE+     VX1_HE+     TMP_HE+     NDT_ELC     VX1_ELC     TMP_ELC     
25          9.7643e+09  6.0994e+12  1.3616e+01  1.5000e+03  4.1745e+11  1.2949e+01  1.5000e+03  1.3102e+07  1.3548e+01  1.5000e+03  1.3646e+04  1.0196e+01  1.5000e+03  1.3116e+07  1.3586e+01  1.5005e+03  
26          9.7665e+09  5.9859e+12  1.3878e+01  1.5000e+03  4.0813e+11  1.3195e+01  1.5000e+03  1.3269e+07  1.3808e+01  1.5000e+03  1.4267e+04  1.0375e+01  1.5000e+03  1.3283e+07  1.3846e+01  1.5005e+03  
27          9.7687e+09  5.8739e+12  1.4146e+01  1.5000e+03  3.9908e+11  1.3446e+01  1.5000e+03  1.3440e+07  1.4074e+01  1.5000e+03  1.4926e+04  1.0558e+01  1.5000e+03  1.3455e+07  1.4112e+01  1.5005e+03  
28          9.7709e+09  5.7635e+12  1.4421e+01  1.5000e+03  3.9028e+11  1.3704e+01  1.5000e+03  1.3617e+07  1.4348e+01  1.5000e+03  1.5624e+04  1.0749e+01  1.5000e+03  1.3633e+07  1.4385e+01  1.5005e+03  
29          9.7732e+09  5.6545e+12  1.4700e+01  1.5000e+03  3.8172e+11  1.3965e+01  1.5000e+03  1.3800e+07  1.4624e+01  1.5000e+03  1.6366e+04  1.0943e+01  1.5000e+03  1.3816e+07  1.4660e+01  1.5005e+03  
30          9.7754e+09  5.5471e+12  1.4994e+01  1.5000e+03  3.7339e+11  1.4241e+01  1.5000e+03  1.3989e+07  1.4916e+01  1.5000e+03  1.7153e+04  1.1151e+01  1.5000e+03  1.4006e+07  1.4961e+01  1.5005e+03  
31          9.7777e+09  5.4411e+12  1.5253e+01  1.5000e+03  3.6528e+11  1.4483e+01  1.5000e+03  1.4185e+07  1.5173e+01  1.5000e+03  1.7989e+04  1.1325e+01  1.5000e+03  1.4203e+07  1.5172e+01  1.5005e+03  
32          9.7800e+09  5.3367e+12  1.5882e+01  1.5000e+03  3.5737e+11  1.5093e+01  1.5000e+03  1.4389e+07  1.5799e+01  1.5000e+03  1.8877e+04  1.1867e+01  1.5000e+03  1.4408e+07  1.5917e+01  1.5005e+03  
33          9.7823e+09  5.2337e+12  1.5037e+01  1.5000e+03  3.4966e+11  1.4231e+01  1.5000e+03  1.4601e+07  1.4952e+01  1.5000e+03  1.9820e+04  1.0936e+01  1.5000e+03  1.4621e+07  1.4923e+01  1.5005e+03  
34          9.7846e+09  5.1322e+12  1.7146e+01  1.5000e+03  3.4214e+11  1.6321e+01  1.5000e+03  1.4820e+07  1.7058e+01  1.5000e+03  2.0823e+04  1.2958e+01  1.5000e+03  1.4841e+07  1.7077e+01  1.5005e+03  
35          9.7869e+09  5.0322e+12  1.5969e+01  1.5000e+03  3.3480e+11  1.5124e+01  1.5000e+03  1.5048e+07  1.5878e+01  1.5000e+03  2.1889e+04  1.1693e+01  1.5000e+03  1.5070e+07  1.5900e+01  1.5005e+03  
36          9.7892e+09  4.9336e+12  1.6796e+01  1.5000e+03  3.2763e+11  1.5932e+01  1.5000e+03  1.5283e+07  1.6703e+01  1.5000e+03  2.3023e+04  1.2433e+01  1.5000e+03  1.5306e+07  1.6761e+01  1.5005e+03  
37          9.7915e+09  4.8364e+12  1.7043e+01  1.5000e+03  3.2062e+11  1.6160e+01  1.5000e+03  1.5527e+07  1.6947e+01  1.5000e+03  2.4229e+04  1.2593e+01  1.5000e+03  1.5551e+07  1.6974e+01  1.5005e+03  
