I           X1          NDT_H       VX1_H       TMP_H       NDT_HE      VX1_HE      TMP_HE      NDT_H+      VX1_H+      TMP_H+      NDT_HE+     VX1_HE+     TMP_HE+     NDT_ELC     VX1_ELC     TMP_ELC     
2           9.7167e+09  9.1605e+12  -5.2470e+02 1.4997e+03  7.6606e+11  -5.2494e+02 1.4997e+03  7.9665e+06  -5.2471e+02 1.4997e+03  4.9709e+04  -5.1409e+02 1.4997e+03  8.0160e+06  -5.2256e+02 1.4997e+03  
3           9.7187e+09  9.0364e+12  -3.4909e+00 1.4996e+03  7.4604e+11  -3.7404e+00 1.4996e+03  7.9989e+06  -3.5095e+00 1.4996e+03  1.7609e+04  8.9462e+00  1.4996e+03  8.0163e+06  -5.4157e+00 1.4997e+03  
4           9.7206e+09  8.9168e+12  9.8085e+00  1.5000e+03  7.2717e+11  9.5529e+00  1.5000e+03  8.0833e+06  9.7826e+00  1.5000e+03  9.2789e+03  1.1909e+01  1.5000e+03  8.0929e+06  9.7123e+00  1.4999e+03  
5           9.7226e+09  8.8001e+12  3.3961e+00  1.5000e+03  7.0919e+11  3.1329e+00  1.5000e+03  8.2038e+06  3.3655e+00  1.5000e+03  9.3416e+03  1.7714e+00  1.5000e+03  8.2135e+06  3.8844e+00  1.4999e+03  
6           9.7246e+09  8.6844e+12  1.8998e+00  1.5000e+03  6.9178e+11  1.6295e+00  1.5000e+03  8.3464e+06  1.8665e+00  1.5000e+03  9.5919e+03  1.2636e+00  1.5000e+03  8.3562e+06  1.4248e+00  1.5000e+03  
7           9.7266e+09  8.5697e+12  1.1091e+00  1.5000e+03  6.7489e+11  8.3189e-01  1.5000e+03  8.5005e+06  1.0749e+00  1.5000e+03  9.6017e+03  5.3766e-01  1.5000e+03  8.5103e+06  1.1517e+00  1.5000e+03  
8           9.7286e+09  8.4558e+12  1.3529e+00  1.5000e+03  6.5851e+11  1.0685e+00  1.5000e+03  8.6574e+06  1.3190e+00  1.5000e+03  9.6041e+03  7.5119e-01  1.5000e+03  8.6672e+06  1.3167e+00  1.5000e+03  
9           9.7306e+09  8.3429e+12  1.3256e+00  1.5000e+03  6.4263e+11  1.0339e+00  1.5000e+03  8.8104e+06  1.2929e+00  1.5000e+03  9.6094e+03  7.1004e-01  1.5000e+03  8.8202e+06  1.2746e+00  1.5000e+03  
10          9.7326e+09  8.2310e+12  1.3474e+00  1.5000e+03  6.2723e+11  1.0482e+00  1.5000e+03  8.9542e+06  1.3166e+00  1.5000e+03  9.6146e+03  7.1717e-01  1.5000e+03  8.9640e+06  1.3127e+00  1.5000e+03  
11          9.7347e+09  8.1200e+12  1.3688e+00  1.5000e+03  6.1230e+11  1.0621e+00  1.5000e+03  9.0851e+06  1.3404e+00  1.5000e+03  9.6197e+03  7.2367e-01  1.5000e+03  9.0949e+06  1.3306e+00  1.5000e+03  
