I           X1          NDT_H       VX1_H       TMP_H       NDT_HE      VX1_HE      TMP_HE      NDT_H+      VX1_H+      TMP_H+      NDT_HE+     VX1_HE+     TMP_HE+     NDT_ELC     VX1_ELC     TMP_ELC     
25          8.1762e+09  3.7173e+13  5.5507e+00  1.1999e+03  2.4107e+11  6.1403e+00  1.1999e+03  1.3691e+08  5.5478e+00  1.1999e+03  6.9113e+04  9.9349e+00  1.1999e+03  1.3698e+08  5.5513e+00  1.2008e+03  
26          8.1780e+09  3.5792e+13  5.6805e+00  1.1999e+03  1.6054e+11  6.5170e+00  1.1999e+03  1.3505e+08  5.6765e+00  1.1999e+03  5.0237e+04  1.2427e+01  1.1999e+03  1.3510e+08  5.6735e+00  1.2008e+03  
27          8.1798e+09  3.4454e+13  5.8401e+00  1.1999e+03  9.6804e+10  7.0647e+00  1.1999e+03  1.3346e+08  5.8347e+00  1.1999e+03  3.3029e+04  1.6294e+01  1.1999e+03  1.3350e+08  5.8433e+00  1.2008e+03  
28          8.1817e+09  3.3153e+13  5.6404e+00  1.1999e+03  4.9797e+10  7.5278e+00  1.1999e+03  1.3218e+08  5.6333e+00  1.1999e+03  1.8633e+04  2.1959e+01  1.1999e+03  1.3219e+08  5.6390e+00  1.2008e+03  
29          8.1835e+09  3.1886e+13  4.6559e+00  1.1999e+03  1.9492e+10  7.7124e+00  1.1999e+03  1.3120e+08  4.6469e+00  1.1999e+03  8.3065e+03  2.9591e+01  1.1999e+03  1.3121e+08  4.6320e+00  1.2008e+03  
30          8.1854e+09  3.0651e+13  -5.5733e+00 1.1999e+03  5.8732e+09  -2.1700e+00 1.1999e+03  1.3053e+08  -5.5841e+00 1.1999e+03  2.7851e+03  2.7768e+01  1.1999e+03  1.3053e+08  -5.5526e+00 1.2008e+03  
31          8.1873e+09  2.9450e+13  5.2154e-01  1.1999e+03  1.8445e+09  3.2155e+00  1.1999e+03  1.3014e+08  5.0876e-01  1.1999e+03  9.7975e+02  1.6346e+01  1.1999e+03  1.3014e+08  4.3930e-01  1.2008e+03  
32          8.1891e+09  2.8289e+13  4.0229e+00  1.1999e+03  8.3728e+08  5.3068e+00  1.1999e+03  1.3001e+08  4.0083e+00  1.1999e+03  9.1398e+02  -2.8654e+00 1.1999e+03  1.3001e+08  4.1144e+00  1.2008e+03  
33          8.1910e+09  2.7168e+13  1.4856e+00  1.1999e+03  5.8540e+08  1.5609e+00  1.1999e+03  1.3008e+08  1.4693e+00  1.1999e+03  9.4290e+02  -1.5933e+00 1.1999e+03  1.3008e+08  1.4159e+00  1.2008e+03  
34          8.1929e+09  2.6087e+13  7.0279e+00  1.1999e+03  5.2238e+08  6.6539e+00  1.1999e+03  1.3032e+08  7.0102e+00  1.1999e+03  9.4478e+02  5.1391e+00  1.1999e+03  1.3032e+08  7.0723e+00  1.2008e+03  
35          8.1948e+09  2.5045e+13  3.1923e+00  1.1999e+03  5.0658e+08  2.6068e+00  1.1999e+03  1.3066e+08  3.1733e+00  1.1999e+03  9.4569e+02  7.2175e-01  1.1999e+03  1.3066e+08  3.0569e+00  1.2007e+03  
36          8.1967e+09  2.4040e+13  4.7331e+00  1.1999e+03  5.0258e+08  4.0868e+00  1.1999e+03  1.3107e+08  4.7130e+00  1.1999e+03  9.5031e+02  2.3064e+00  1.1999e+03  1.3108e+08  4.7861e+00  1.2007e+03  
37          8.1987e+09  2.3071e+13  4.6427e+00  1.1999e+03  5.0155e+08  3.9577e+00  1.1999e+03  1.3152e+08  4.6217e+00  1.1999e+03  9.5457e+02  2.2346e+00  1.1999e+03  1.3152e+08  4.6027e+00  1.2007e+03  
38          8.2006e+09  2.2137e+13  4.8561e+00  1.1999e+03  5.0185e+08  4.1328e+00  1.1999e+03  1.3198e+08  4.8341e+00  1.1999e+03  9.5886e+02  2.4550e+00  1.1999e+03  1.3198e+08  4.8381e+00  1.2007e+03  
39          8.2025e+09  2.1237e+13  4.9972e+00  1.1999e+03  5.0328e+08  4.2344e+00  1.1999e+03  1.3244e+08  4.9745e+00  1.1999e+03  9.6324e+02  2.6038e+00  1.1999e+03  1.3244e+08  4.9736e+00  1.2007e+03  
40          8.2045e+09  2.0370e+13  5.1683e+00  1.1999e+03  5.0567e+08  4.3655e+00  1.1999e+03  1.3288e+08  5.1447e+00  1.1999e+03  9.6770e+02  2.7823e+00  1.1999e+03  1.3288e+08  5.1448e+00  1.2007e+03  
41          8.2065e+09  1.9535e+13  5.3399e+00  1.1999e+03  5.0884e+08  4.4968e+00  1.1999e+03  1.3331e+08  5.3155e+00  1.1999e+03  9.7225e+02  2.9609e+00  1.1999e+03  1.3331e+08  5.3155e+00  1.2007e+03  
42          8.2084e+09  1.8731e+13  5.5206e+00  1.1999e+03  5.1263e+08  4.6366e+00  1.1999e+03  1.3372e+08  5.4953e+00  1.1999e+03  9.7689e+02  3.1482e+00  1.1999e+03  1.3372e+08  5.4952e+00  1.2007e+03  
