r,ion_rate
1.032149248e+00,3.073050097e-05
1.032457782e+00,3.191022517e-05
1.032766316e+00,3.314590989e-05
1.033074850e+00,3.444118031e-05
1.033280540e+00,3.579815377e-05
1.033589074e+00,3.722254410e-05
1.033897608e+00,3.871739863e-05
1.034206142e+00,4.028737682e-05
1.034617521e+00,4.193988001e-05
1.034926055e+00,4.367604870e-05
1.035234589e+00,4.550466406e-05
1.035543123e+00,4.743113902e-05
1.035851657e+00,4.946134324e-05
1.036160191e+00,5.160026684e-05
1.036468725e+00,5.385658651e-05
1.036777259e+00,5.623369247e-05
1.037188638e+00,5.874482814e-05
1.037497172e+00,6.139050276e-05
1.037805706e+00,6.418627020e-05
1.038114240e+00,6.713202967e-05
1.038525619e+00,7.024297762e-05
1.038834153e+00,7.352113018e-05
1.039142687e+00,7.697534336e-05
1.039451221e+00,8.062079545e-05
1.039862600e+00,8.445710996e-05
1.040171134e+00,8.850084304e-05
1.040582512e+00,9.275338397e-05
1.040891046e+00,9.722756533e-05
1.041199580e+00,1.019274151e-04
1.041610959e+00,1.068667414e-04
1.041919493e+00,1.120496595e-04
1.042330872e+00,1.174874542e-04
1.042639406e+00,1.231805292e-04
1.043050785e+00,1.291483967e-04
1.043462163e+00,1.353863944e-04
1.043770697e+00,1.419123424e-04
1.044182076e+00,1.487182502e-04
1.044490610e+00,1.558334617e-04
1.044901989e+00,1.632396468e-04
1.045313368e+00,1.709659831e-04
1.045621902e+00,1.790027847e-04
1.046033281e+00,1.873638720e-04
1.046444659e+00,1.960599414e-04
1.046856038e+00,2.050767743e-04
1.047164572e+00,2.144496772e-04
1.047575951e+00,2.241561788e-04
1.047987330e+00,2.342232588e-04
1.048398708e+00,2.446473861e-04
1.048810087e+00,2.554542070e-04
1.049221466e+00,2.666162494e-04
1.049632844e+00,2.781787293e-04
1.050044223e+00,2.901261477e-04
1.050455602e+00,3.024974423e-04
1.050866981e+00,3.152960273e-04
1.051278359e+00,3.285290594e-04
1.051689738e+00,3.422461352e-04
1.052101117e+00,3.564220658e-04
